Year,SERIES,UNIT_MEASURE,Nivo obrazovanja,Kvantil dohotka ili bogatstva,Spol,Stepen urbanizacije,Value
2020,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,98.9
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,97.56
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.69
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,96.92
2013,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.3
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.5
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.5
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.6
2017,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.7
2018,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.8
2019,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.9
2020,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,97.4
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.77
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,96.78
2013,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.3
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.3
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.4
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.5
2017,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.5
2018,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.6
2019,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.6
2020,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.7
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ukupno,95.59
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ukupno,90.817
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Žene,Ukupno,86.99261
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Ukupno,95.47208
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ukupno,99.79
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ukupno,93.87903
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Muškarci,Ukupno,89.37129
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ukupno,98.61
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ukupno,98.79659
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Muškarci,Ukupno,97.72626
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ukupno,99.46
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ukupno,98.42177
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Žene,Ukupno,96.82923
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Muškarci,Ukupno,99.85685
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ukupno,99.85
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Ukupno,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,96.61
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,98.67
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,96.3604
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ruralno,96.55474
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ruralno,96.19608
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ruralno,92.15459
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Žene,Ruralno,90.75005
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Ruralno,94.23948
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ruralno,94.70641
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Žene,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Muškarci,Ruralno,91.00468
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ruralno,98.43307
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Žene,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Muškarci,Ruralno,97.21833
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ruralno,97.44476
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Žene,Ruralno,94.89287
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Muškarci,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Žene,Ruralno,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Ruralno,0.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,98.88
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,98.83
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,97.89363
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Urbano,97.72262
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Urbano,98.03853
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 2,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 3,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Urbano,99.81715
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 4,Muškarci,Urbano,99.67559
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Urbano,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,99.25
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,99.2
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,99.74
2013,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,99.9
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,99.9
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,99.9
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2017,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2018,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2019,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2020,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.61
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.11
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.89
2013,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.9
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.99
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,99.99
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2017,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2018,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2019,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2020,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.9
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.28
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.59
2013,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.7
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.7
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.7
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.8
2017,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.8
2018,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.8
2019,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.8
2020,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,99.9
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ukupno,99.52
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ukupno,99.66748
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Žene,Ukupno,99.40881
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Ukupno,100.0
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ukupno,98.43
