Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2015,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.67
2016,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.92
2017,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,12.52
2018,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,12.28
2019,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.95
2020,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.81
2021,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,12.56
2022,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,12.72
2000,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,9.3
2001,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,9.41
2002,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,9.31
2003,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,9.3
2004,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,9.12
2005,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,9.94
2006,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.02
2007,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.81
2008,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,11.01
2009,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.48
2010,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.88
2011,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.92
2012,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.55
2013,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.94
2014,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,10.94
2015,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,11.67
2016,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,12.37
2017,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,13.12
2018,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,13.23
2019,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,12.94
2020,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,13.11
2021,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Procenat,Proizvodnja,14.44
2000,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,211.1
2001,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,223.93
2002,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,242.43
2003,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,250.64
2004,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,264.86
2005,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,293.19
2006,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,338.17
2007,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,378.83
2008,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,409.7
2009,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,393.88
2010,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,429.67
2011,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,437.29
2012,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,441.9
2013,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,471.32
2014,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,497.97
2015,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,536.83
2016,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,572.79
2017,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,627.77
2018,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,646.34
2019,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,654.49
2020,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,634.5
2021,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,736.53
2022,Dodatna proizvodna vrijednost po glavi stanovnika (stalni američki dolari iz 2015.),Konstantni američki dolari,Proizvodnja,782.89
