Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2011,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,19.8
2011,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,67.3
2012,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,43.0
2012,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,18.6
2012,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,66.0
2013,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,42.7
2013,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,18.0
2013,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,65.2
2014,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,42.1
2014,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,17.1
2014,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,64.4
2015,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,41.7
2015,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,16.2
2015,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,63.4
2016,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,41.6
2016,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,15.5
2016,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,62.6
2017,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,41.3
2017,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,14.7
2017,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,61.8
2018,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,40.8
2018,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,14.3
2018,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,61.1
2019,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,40.3
2019,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,13.5
2019,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,60.2
2020,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,40.2
2020,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,13.4
2020,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,59.6
2021,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,39.9
2021,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,12.2
2021,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,57.95
2022,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,39.3
2022,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,11.5
2022,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,57.4
2023,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,39.5
2023,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,10.95
2023,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,57.0
