Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Spol,Value
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,33.62942
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,34.30956
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,32.87607
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,29.73979
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,31.98685
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,28.7234
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,26.76379
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,27.47632
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,27.58383
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,30.99388
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,27.73245
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,29.80919
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,85.92637
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.0791
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,88.19074
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.03985
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.27805
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.56123
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.17437
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.87396
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.16772
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.28769
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.16017
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.07518
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,83.88409
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.98256
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,27.63528
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,27.26836
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,24.05602
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,21.29026
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,20.23733
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,18.80983
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,22.10485
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,20.58875
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,19.35245
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,19.08263
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,20.16743
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,21.69416
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,20.45402
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Muškarci,19.84486
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,39.15751
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,38.64039
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,36.65426
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,33.49041
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,32.0531
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,31.5605
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,34.67903
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,33.16267
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,30.75914
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,31.71107
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,32.10042
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,33.4094
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,30.31391
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Muškarci,30.85654
