Year,SERIES,UNIT_MEASURE,Spol,Value
2009,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.76
2010,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.51
2011,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.83
2012,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,1.28
2013,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.76
2014,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.6
2015,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,1.0
2016,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.85
2017,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.57
2018,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.46
2019,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.59
2020,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.3
2021,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.42
2022,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.71
2000,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,3.88
2001,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.59
2002,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,3.17
2009,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.96
2010,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.47
2011,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.92
2012,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.81
2013,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.84
2014,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.23
2015,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.26
2016,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.76
2017,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.9
2018,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.86
2019,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.94
2020,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.33
2021,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.55
2022,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.44
2000,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,99.0
2001,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,82.0
2002,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,90.0
2004,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,68.0
2007,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,66.0
2008,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,66.0
2009,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,71.0
2010,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,56.0
2011,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,51.0
2012,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,63.0
2013,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,46.0
2014,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,50.0
2015,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,57.0
2016,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,45.0
2017,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,42.0
2018,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,39.0
2019,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,42.0
2020,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,43.0
2021,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,32.0
2022,Broj žrtava ubistava s predomišljajem,Broj,Oba pola,35.0
2000,Broj žrtava ubistava s predomišljajem,Broj,Žene,20.0
2001,Broj žrtava ubistava s predomišljajem,Broj,Žene,29.0
2002,Broj žrtava ubistava s predomišljajem,Broj,Žene,25.0
2009,Broj žrtava ubistava s predomišljajem,Broj,Žene,15.0
2010,Broj žrtava ubistava s predomišljajem,Broj,Žene,10.0
2011,Broj žrtava ubistava s predomišljajem,Broj,Žene,16.0
2012,Broj žrtava ubistava s predomišljajem,Broj,Žene,24.0
2013,Broj žrtava ubistava s predomišljajem,Broj,Žene,14.0
2014,Broj žrtava ubistava s predomišljajem,Broj,Žene,11.0
2015,Broj žrtava ubistava s predomišljajem,Broj,Žene,18.0
2016,Broj žrtava ubistava s predomišljajem,Broj,Žene,15.0
2017,Broj žrtava ubistava s predomišljajem,Broj,Žene,10.0
2018,Broj žrtava ubistava s predomišljajem,Broj,Žene,8.0
2019,Broj žrtava ubistava s predomišljajem,Broj,Žene,10.0
2020,Broj žrtava ubistava s predomišljajem,Broj,Žene,5.0
2021,Broj žrtava ubistava s predomišljajem,Broj,Žene,7.0
2022,Broj žrtava ubistava s predomišljajem,Broj,Žene,12.0
2000,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,79.0
2001,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,53.0
2002,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,65.0
2009,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,56.0
2010,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,46.0
2011,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,35.0
2012,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,39.0
2013,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,32.0
2014,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,39.0
2015,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,39.0
2016,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,30.0
2017,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,32.0
2018,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,31.0
2019,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,32.0
2020,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,38.0
2021,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,25.0
2022,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,22.0
