Year,SERIES,UNIT_MEASURE,Spol,Zanimanje,Value
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.03
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.71
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.63
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.47
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.7
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.28
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,8.27
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,9.02
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,6.2
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,6.85
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,6.84
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,7.5
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,7.32
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,8.41
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,7.51
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,10.89
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Menadžeri,10.11
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,6.52
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,7.26
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,7.04
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,6.51
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,6.22
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,7.05
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,5.89
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,10.22
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Profesionalci,10.12
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.57
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.84
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.44
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.93
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.58
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.64
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,4.44
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,8.5
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Tehničari i pridruženi profesionalci,8.23
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,3.65
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,7.73
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,4.4
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,4.11
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,4.74
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,4.28
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,4.9
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,8.11
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Službenici hitne pomoći,8.62
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,2.96
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,3.52
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,2.96
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,3.28
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,3.44
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,3.36
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,3.39
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,6.1
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Uslužni i prodajni radnici,5.87
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",3.25
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",3.21
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",3.45
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",3.15
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",3.67
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",3.18
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",4.11
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",6.93
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",6.98
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,3.62
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,3.68
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,4.08
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,3.81
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,3.92
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,3.75
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,4.02
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,10.88
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanatski i srodni radnici,6.84
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.65
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.7
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.64
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.58
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.61
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.89
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",3.69
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",8.45
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,"Operateri postrojenja i strojeva, te monteri",7.22
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,3.01
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,3.63
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,3.15
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,3.81
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,3.19
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,4.25
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,3.42
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,6.05
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Osnovna zanimanja,5.72
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,3.96
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,4.99
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,4.26
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,4.22
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,4.05
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,4.61
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,4.01
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,7.3
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Sva zanimanja,6.98
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanimanja oružanih snaga,11.1
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanimanja oružanih snaga,7.58
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,4.66
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,5.87
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,7.07
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,6.58
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,7.33
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,7.58
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,6.94
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,10.44
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Menadžeri,9.39
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,6.44
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,7.02
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,8.0
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,5.82
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,5.93
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,7.18
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,5.46
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,10.61
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Profesionalci,10.13
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.78
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.08
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.28
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.83
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.26
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.45
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,4.27
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,8.2
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Tehničari i pridruženi profesionalci,8.13
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,3.62
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,9.0
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,4.13
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,4.05
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,4.87
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,4.28
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,5.14
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,8.24
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Službenici hitne pomoći,9.03
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,2.62
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,2.99
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,2.62
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,2.93
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,2.79
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,3.04
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,3.04
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,4.93
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Uslužni i prodajni radnici,4.85
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",2.3
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",2.75
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"KV kvalificirani radnici u poljoprivredi, šumarstvu i ribarstvu",5.57
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,2.26
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,2.34
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,2.44
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,3.18
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,2.73
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,2.36
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,3.01
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,6.35
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,Zanatski i srodni radnici,4.59
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"Operateri postrojenja i strojeva, te monteri",2.39
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"Operateri postrojenja i strojeva, te monteri",2.84
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"Operateri postrojenja i strojeva, te monteri",2.53
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"Operateri postrojenja i strojeva, te monteri",2.21
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"Operateri postrojenja i strojeva, te monteri",2.44
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Žene,"Operateri postrojenja i strojeva, te monteri",2.92
