Year,SERIES,Godine,COMPOSITE_BREAKDOWN,Spol,Zanimanje,UNIT_MEASURE,Value
2025,"Udio mladih u parlamentu, Donji dom ili Jednodomni (%)",mlađi od 45 godina,,,,Procenat,24.4
2026,"Udio mladih u parlamentu, Donji dom ili Jednodomni (%)",mlađi od 45 godina,,,,Procenat,24.4
2021,"Udio mladih u parlamentu (45 godina ili manje), donjem domu ili jednodomnom domu (%)",mlađi od 45 godina,,,,Procenat,
2022,"Udio mladih u parlamentu (45 godina ili manje), donjem domu ili jednodomnom domu (%)",mlađi od 45 godina,,,,Procenat,
2023,"Udio mladih u parlamentu (45 godina ili manje), donjem domu ili jednodomnom domu (%)",mlađi od 45 godina,,,,Procenat,
2026,"Udio mladih u parlamentu, Gornji dom (%)",ispod 41 godine,,,,Procenat,14.3
2022,"Udio mladih u parlamentu, Gornji dom (%)",mlađi od 45 godina,,,,Procenat,6.67
2025,"Udio mladih u parlamentu, Gornji dom (%)",mlađi od 45 godina,,,,Procenat,14.3
2026,"Udio mladih u parlamentu, Gornji dom (%)",mlađi od 45 godina,,,,Procenat,14.3
2021,"Udio mladih u parlamentu (45 godina ili manje), Gornjem domu (%)",mlađi od 45 godina,,,,Procenat,
2022,"Udio mladih u parlamentu (45 godina ili manje), Gornjem domu (%)",mlađi od 45 godina,,,,Procenat,
2023,"Udio mladih u parlamentu (45 godina ili manje), Gornjem domu (%)",mlađi od 45 godina,,,,Procenat,
2026,"Udio mladih članova u parlamentu (Udio udjela mladih članova u parlamentu u odnosu na nacionalno stanovništvo s dobi podobnosti kao donjom granicom), Donji dom ili Jednodomni",ispod 41 godine,,,,Odnos,0.5504
2022,"Udio mladih članova u parlamentu (Udio udjela mladih članova u parlamentu u odnosu na nacionalno stanovništvo s dobi podobnosti kao donjom granicom), Donji dom ili Jednodomni",mlađi od 45 godina,,,,Odnos,0.43121
2025,"Udio mladih članova u parlamentu (Udio udjela mladih članova u parlamentu u odnosu na nacionalno stanovništvo s dobi podobnosti kao donjom granicom), Donji dom ili Jednodomni",mlađi od 45 godina,,,,Odnos,0.6034
2026,"Udio mladih članova u parlamentu (Udio udjela mladih članova u parlamentu u odnosu na nacionalno stanovništvo s dobi podobnosti kao donjom granicom), Donji dom ili Jednodomni",mlađi od 45 godina,,,,Odnos,0.6034
2021,"Omjer mladih članova u parlamentu (Omjer udjela mladih poslanika u parlamentu (45 godina ili manje) u odnosu na nacionalnog stanovništvo (45 godina ili manje) s godinama starosti kao donjom granicom), Donji dom ili jednodomni",mlađi od 45 godina,,,,Odnos,
2022,"Omjer mladih članova u parlamentu (Omjer udjela mladih poslanika u parlamentu (45 godina ili manje) u odnosu na nacionalnog stanovništvo (45 godina ili manje) s godinama starosti kao donjom granicom), Donji dom ili jednodomni",mlađi od 45 godina,,,,Odnos,
2023,"Omjer mladih članova u parlamentu (Omjer udjela mladih poslanika u parlamentu (45 godina ili manje) u odnosu na nacionalnog stanovništvo (45 godina ili manje) s godinama starosti kao donjom granicom), Donji dom ili jednodomni",mlađi od 45 godina,,,,Odnos,
2021,"Omjer mladih članova u parlamentu (Omjer udjela mladih članova u parlamentu (45 godina ili manje) u odnosu na nacionalno stanovništvo (45 godina ili manje) s godinama starosti kao donjom granicom), Gornji dom",mlađi od 45 godina,,,,Odnos,
2022,"Omjer mladih članova u parlamentu (Omjer udjela mladih članova u parlamentu (45 godina ili manje) u odnosu na nacionalno stanovništvo (45 godina ili manje) s godinama starosti kao donjom granicom), Gornji dom",mlađi od 45 godina,,,,Odnos,
2023,"Omjer mladih članova u parlamentu (Omjer udjela mladih članova u parlamentu (45 godina ili manje) u odnosu na nacionalno stanovništvo (45 godina ili manje) s godinama starosti kao donjom granicom), Gornji dom",mlađi od 45 godina,,,,Odnos,
