Year,SERIES,UNIT_MEASURE,Godine,Stepen urbanizacije,Kvantil dohotka ili bogatstva,Spol,Tipovi domaćinstva,Value
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,10.11
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,4.49
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,3.64
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,7.71
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,4.29
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,3.96
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,3.18
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,2.68
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,1.08
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 3,Oba pola,Sve vrste domaćinstava,1.05
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,3.43
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,2.22
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,2.08
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,1.59
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,1.15
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,0.51
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 4,Oba pola,Sve vrste domaćinstava,0.5
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,2.06
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,2.04
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,1.06
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,1.85
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,2.47
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,0.27
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 5 (najbogatiji),Oba pola,Sve vrste domaćinstava,0.3
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Ruralno,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,19.82
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Ruralno,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,13.86
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Ruralno,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,10.42
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Urbano,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,17.4
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Urbano,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,7.3
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Urbano,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,6.19
