Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2018,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,80.0
2019,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,76.0
2000,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,8.7
2001,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,8.4
2002,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,8.2
2003,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,8.0
2004,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,7.9
2005,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,7.8
2006,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,7.5
2007,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,7.2
2008,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,6.9
2009,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,6.6
2010,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,6.3
2011,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,6.0
2012,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.8
2013,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.6
2014,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.5
2015,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.4
2016,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.3
2017,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.3
2018,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.2
2019,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,5.1
2000,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,7.7
2001,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,7.5
2002,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,7.3
2003,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,7.1
2004,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,7.0
2005,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,6.9
2006,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,6.7
2007,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,6.4
2008,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,6.2
2009,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,5.9
2010,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,5.6
2011,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,5.4
2012,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,5.2
2013,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,5.1
2014,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,5.0
2015,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,4.9
2016,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,4.8
2017,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,4.8
2018,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,4.7
2019,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Žene,4.6
2000,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,9.6
2001,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,9.3
2002,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,9.1
2003,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,8.9
2004,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,8.8
2005,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,8.6
2006,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,8.3
2007,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,8.0
2008,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,7.6
2009,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,7.2
2010,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,6.9
2011,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,6.6
2012,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,6.4
2013,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,6.2
2014,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,6.0
2015,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,5.9
2016,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,5.8
2017,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,5.7
2018,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,5.6
2019,Stopa smrtnosti dojenčadi,Na 1 000 živorođenih,Mlađi od 1 godine,Muškarci,5.5
2000,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,424.0
2001,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,389.0
2002,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,362.0
2003,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,341.0
2004,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,326.0
2005,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,313.0
2006,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,300.0
2007,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,287.0
2008,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,273.0
2009,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,259.0
2010,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,246.0
2011,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,233.0
2012,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,221.0
2013,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,210.0
2014,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,201.0
2015,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,192.0
2016,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,184.0
2017,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,175.0
2018,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,167.0
2019,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Oba spola ili bez podjele po spolu,158.0
2000,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,182.0
2001,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,167.0
2002,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,155.0
2003,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,146.0
2004,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,140.0
2005,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,134.0
2006,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,128.0
2007,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,124.0
2008,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,118.0
2009,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,112.0
2010,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,107.0
2011,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Žene,101.0
2012,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,96.0
2013,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,91.0
2014,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,87.0
2015,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,84.0
2016,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,80.0
2017,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,76.0
2018,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,73.0
2019,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,69.0
2000,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,242.0
2001,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,222.0
2002,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,207.0
2003,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,195.0
2004,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,186.0
2005,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,179.0
2006,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,172.0
2007,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,163.0
2008,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,155.0
2009,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,147.0
2010,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,139.0
2011,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,132.0
2012,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,125.0
2013,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,119.0
2014,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,114.0
2015,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,108.0
2016,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,104.0
2017,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,99.0
2018,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,94.0
2019,Smrtnost ispod pet ogdina (broj),Broj,Ispod 5 godina,Muškarci,89.0
2000,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.9
2001,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.6
2002,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.3
2003,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.2
2004,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,9.0
2005,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,8.9
2006,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,8.6
2007,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,8.3
2008,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,7.9
2009,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,7.5
2010,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,7.2
2011,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.9
2012,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.7
2013,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.5
2014,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.4
2015,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.3
2016,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.2
2017,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.1
2018,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,6.0
2019,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Oba spola ili bez podjele po spolu,5.9
2000,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,8.7
2001,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,8.5
2002,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,8.3
2003,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,8.1
2004,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,8.0
2005,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,7.8
2006,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,7.6
2007,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,7.4
2008,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,7.0
2009,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,6.7
2010,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,6.4
2011,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,6.2
2012,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,6.0
2013,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.8
2014,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.7
2015,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.6
2016,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.6
2017,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.5
2018,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.4
2019,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Žene,5.3
2000,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,11.0
2001,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,10.6
2002,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,10.4
2003,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,10.2
2004,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,10.0
2005,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,9.8
2006,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,9.5
2007,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,9.2
2008,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,8.7
2009,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,8.3
2010,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,7.9
2011,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,7.6
2012,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,7.3
2013,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,7.1
2014,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,7.0
2015,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,6.9
2016,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,6.8
2017,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,6.7
2018,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,6.6
2019,Stopa smrtnosti ispod pet godina,Na 1 000 živorođenih,Ispod 5 godina,Muškarci,6.4
