Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2006,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2007,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2008,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2009,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2011,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2012,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2016,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2005,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2006,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2007,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2008,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2009,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2011,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2012,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2016,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2005,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2006,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2007,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2008,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2009,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2010,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2011,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2012,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2014,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2016,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2005,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2006,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2007,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2008,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2009,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2010,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2011,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2012,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2014,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2016,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2005,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2006,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2007,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2008,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2009,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2011,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2016,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2005,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2006,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2007,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2008,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2009,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2011,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2016,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2016,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,6.0
2016,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2010,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2011,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2016,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2011,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2016,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2005,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,65.0
2010,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,8.0
2011,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2016,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2017,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2018,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,9.0
2019,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2020,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2022,"Detektovane žrtve trgovine ljudima radi seksualne eksploatacije, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2007,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2008,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2009,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,25.0
2011,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,35.0
2016,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2017,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2018,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,36.0
2019,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2020,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2021,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2022,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2011,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,8.0
2017,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2020,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2021,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2022,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2009,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,21.0
2011,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,27.0
2017,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2020,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2021,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2022,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,20.0
2011,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2012,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,17.0
2016,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2017,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2018,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,24.0
2019,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2020,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2021,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2022,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2018,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,18.0
2011,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2012,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,14.0
2021,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2022,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,18 godina i više,5.0
2011,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,18 godina i više,
2012,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,18 godina i više,
2014,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,18 godina i više,18.0
