Year,SERIES,UNIT_MEASURE,Sex,Occupation,Value
2010,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,54.867
2011,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,56.085
2012,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,58.921
2013,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,59.005
2014,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,61.319
2015,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,61.798
2016,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,54.726
2017,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,55.647
2018,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,57.333
2000,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.933
2001,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.808
2002,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.825
2003,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.223
2004,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.918
2005,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.918
2006,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.045
2007,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.988
2008,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.795
2009,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,1.82
2010,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.151
2011,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.207
2012,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.427
2013,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.284
2014,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.369
2015,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Dentists,2.4
2015,"Health worker distribution, by sex and type of occupation",Percent,Female,Nursing and midwifery personnel,78.56
2018,"Health worker distribution, by sex and type of occupation",Percent,Female,Nursing and midwifery personnel,77.5
2005,"Health worker distribution, by sex and type of occupation",Percent,Female,Medical doctors,91.47
2010,"Health worker distribution, by sex and type of occupation",Percent,Female,Medical doctors,88.78
2015,"Health worker distribution, by sex and type of occupation",Percent,Female,Medical doctors,87.7
2015,"Health worker distribution, by sex and type of occupation",Percent,Male,Nursing and midwifery personnel,21.44
2018,"Health worker distribution, by sex and type of occupation",Percent,Male,Nursing and midwifery personnel,22.5
2005,"Health worker distribution, by sex and type of occupation",Percent,Male,Medical doctors,8.53
2010,"Health worker distribution, by sex and type of occupation",Percent,Male,Medical doctors,11.22
2015,"Health worker distribution, by sex and type of occupation",Percent,Male,Medical doctors,12.31
