Year,SERIES,UNIT_MEASURE,AGE,Sex,Degree of urbanisation,Value
2017,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2018,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2019,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,0.06
2000,Employed population below international poverty line,Percent,25+,Female,,
2001,Employed population below international poverty line,Percent,25+,Female,,0.17
2002,Employed population below international poverty line,Percent,25+,Female,,
2003,Employed population below international poverty line,Percent,25+,Female,,
2004,Employed population below international poverty line,Percent,25+,Female,,0.09
2005,Employed population below international poverty line,Percent,25+,Female,,
2006,Employed population below international poverty line,Percent,25+,Female,,
2007,Employed population below international poverty line,Percent,25+,Female,,0.07
2008,Employed population below international poverty line,Percent,25+,Female,,
2009,Employed population below international poverty line,Percent,25+,Female,,
2010,Employed population below international poverty line,Percent,25+,Female,,
2011,Employed population below international poverty line,Percent,25+,Female,,0.08
2012,Employed population below international poverty line,Percent,25+,Female,,
2013,Employed population below international poverty line,Percent,25+,Female,,
2014,Employed population below international poverty line,Percent,25+,Female,,
2015,Employed population below international poverty line,Percent,25+,Female,,
2016,Employed population below international poverty line,Percent,25+,Female,,
2017,Employed population below international poverty line,Percent,25+,Female,,
2018,Employed population below international poverty line,Percent,25+,Female,,
2019,Employed population below international poverty line,Percent,25+,Female,,0.05
2000,Employed population below international poverty line,Percent,25+,Male,,
2001,Employed population below international poverty line,Percent,25+,Male,,0.19
2002,Employed population below international poverty line,Percent,25+,Male,,
2003,Employed population below international poverty line,Percent,25+,Male,,
2004,Employed population below international poverty line,Percent,25+,Male,,0.1
2005,Employed population below international poverty line,Percent,25+,Male,,
2006,Employed population below international poverty line,Percent,25+,Male,,
2007,Employed population below international poverty line,Percent,25+,Male,,0.07
2008,Employed population below international poverty line,Percent,25+,Male,,
2009,Employed population below international poverty line,Percent,25+,Male,,
2010,Employed population below international poverty line,Percent,25+,Male,,
2011,Employed population below international poverty line,Percent,25+,Male,,0.08
2012,Employed population below international poverty line,Percent,25+,Male,,
2013,Employed population below international poverty line,Percent,25+,Male,,
2014,Employed population below international poverty line,Percent,25+,Male,,
2015,Employed population below international poverty line,Percent,25+,Male,,
2016,Employed population below international poverty line,Percent,25+,Male,,
2017,Employed population below international poverty line,Percent,25+,Male,,
2018,Employed population below international poverty line,Percent,25+,Male,,
2019,Employed population below international poverty line,Percent,25+,Male,,0.06
2007,Proportion of population below international poverty line,Percent,<15Y,Both sexes or no breakdown by sex,All areas,0.29
2011,Proportion of population below international poverty line,Percent,<15Y,Both sexes or no breakdown by sex,All areas,0.41
2007,Proportion of population below international poverty line,Percent,Y15T64,Both sexes or no breakdown by sex,All areas,0.14
2011,Proportion of population below international poverty line,Percent,Y15T64,Both sexes or no breakdown by sex,All areas,0.021
2007,Proportion of population below international poverty line,Percent,65+,Both sexes or no breakdown by sex,All areas,0.19
2011,Proportion of population below international poverty line,Percent,65+,Both sexes or no breakdown by sex,All areas,0.16
2001,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,All areas,0.6
2004,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,All areas,0.4
2007,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,All areas,0.2
2011,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,All areas,0.2
2007,Proportion of population below international poverty line,Percent,ALLAGE,Female,All areas,0.13
2011,Proportion of population below international poverty line,Percent,ALLAGE,Female,All areas,0.28
2007,Proportion of population below international poverty line,Percent,ALLAGE,Male,All areas,0.21
2011,Proportion of population below international poverty line,Percent,ALLAGE,Male,All areas,0.18
2007,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,Rural,0.24
2011,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,Rural,0.26
2007,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,Urban,0.07
2011,Proportion of population below international poverty line,Percent,ALLAGE,Both sexes or no breakdown by sex,Urban,0.21
