Year,SERIES,UNIT_MEASURE,Economic activity,Sex,Age,Value
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,30.9
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,33.7
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,31.5
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,29.3
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,30.1
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,30.5
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,24.8
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,22.1
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,23.1
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,14.3
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,20.68
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,19.89
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,95.6
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,97.3
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,96.1
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,96.3
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,95.9
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,96.6
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,96.1
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,96.0
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,94.0
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,95.0
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,96.7
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,88.9
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,84.2,
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,88.4
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,79.4
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,89.98
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,92.59
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,18.9
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,16.9
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,15.7
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,12.8
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,14.3
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,12.0
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,13.2
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,12.8
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,12.5
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,13.8
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,12.7
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,10.6
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,10.5
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,7.8
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,6.64
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,6.94
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,5.55
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,35.8
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,34.0
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,33.6
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,34.3
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,32.9
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,29.7
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,32.0
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,28.7
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,26.8
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,27.5
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,27.6
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,26.3
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,22.3
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,24.3
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,16.79
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,25.72
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Female,15 years old and over,24.79
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,85.9
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,87.1
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,88.2
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,87.0
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,86.3
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,86.6
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,87.2
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,87.9
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,87.2
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,87.3
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,86.2
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,65.5
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,65.7
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,72.4
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,52.51
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,66.44
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,68.73
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,27.6
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,27.3
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,24.1
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,21.3
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,20.2
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,18.8
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,22.1
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,20.6
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,19.4
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,19.1
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,20.2
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,14.3
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,14.0
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,12.6
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,7.95
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,9.32
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,8.58
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,39.2
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,38.6
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,36.7
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,33.5
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,32.1
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,31.6
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,34.7
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,33.2
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,30.8
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,31.7
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,32.1
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,24.0
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,22.0
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,22.4
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,12.74
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,17.4
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Male,15 years old and over,16.64
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,56.14
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,51.11
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,72.93
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,"Agriculture, forestry and fishing",Female,15 years old and over,66.26
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,45.69
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,"Agriculture, forestry and fishing",Male,15 years old and over,44.67
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,8.44
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,7.45
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,6.94
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,Non-agriculture,Female,15 years old and over,5.55
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,9.32
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,Non-agriculture,Male,15 years old and over,8.59
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,12.94
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,10.62
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,No breakdown,Female,15 years old and over,13.38
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,No breakdown,Female,15 years old and over,9.11
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,No breakdown,Male,15 years old and over,12.68
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%)",Percent,No breakdown,Male,15 years old and over,11.49
