Year,SERIES,UNIT_MEASURE,Type of product,Value
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,7.09295
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.50945
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.55547
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.59108
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.07189
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.16589
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.09556
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.0097
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.07233
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.011
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.04916
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.08577
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.05247
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Textiles,5.0532
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,8.32327
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.31583
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.30725
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.29839
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.22189
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.25902
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.2616
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.25815
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.26362
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.03696
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.07876
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.35939
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.36044
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Agriculture products,5.358
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,3.31452
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,3.13294
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.75689
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.74796
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.9245
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.7716
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.93213
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.83208
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.82001
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.92848
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.85201
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.79936
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.79424
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,No breakdown,2.7958
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.89483
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.88883
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.93747
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92516
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92125
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92125
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92169
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.9217
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92246
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.91978
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92163
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92163
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92163
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Arms,1.92163
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,13.09122
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,12.00739
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,12.07104
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,12.02332
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,12.01758
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,12.02856
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,12.02713
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.94963
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.94564
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.79269
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.95809
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.96038
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.94887
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Clothing,11.9603
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.61536
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.46985
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.05345
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.04646
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.23445
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.07578
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.23988
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.14283
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.13123
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.22498
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.14806
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.12195
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.11845
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Industrial products,2.1194
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.24362
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.1243
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Oil,0.0
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,7.77645
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,7.44452
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,7.45629
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,7.43306
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.90249
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.99648
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.92713
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.8678
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.87484
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.80223
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.81609
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.85479
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.79889
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",PT,Textiles,6.8003
