Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2007,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2008,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2009,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2010,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2011,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2012,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2014,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2015,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2005,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2006,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2007,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2008,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2009,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2010,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2011,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2012,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2014,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,
2015,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,under 18 years old,10.0
2015,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,18 years old and over,5.0
2015,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Male,18 years old and over,6.0
2014,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,28.0
2016,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2018,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,17.0
2019,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,16.0
2005,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2006,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2007,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2008,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2009,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2010,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2011,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2012,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2014,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2015,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2016,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,
2022,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,under 18 years old,0.0
2005,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2006,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2007,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2008,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2009,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2010,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2011,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2012,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2014,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2015,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2016,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,
2022,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,under 18 years old,0.0
2005,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2006,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2007,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2008,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2009,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2010,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2011,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2012,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2014,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2015,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2016,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,
2022,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,18 years old and over,0.0
2005,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2006,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2007,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2008,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2009,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2010,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2011,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2012,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2014,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2015,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2016,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,
2022,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,18 years old and over,0.0
2005,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2006,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2007,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2008,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2009,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Female,All age ranges or no breaks by age,0.0
2005,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2006,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2007,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2008,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2009,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for removal of organ, by age and sex (number)",Number,Male,All age ranges or no breaks by age,0.0
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,under 18 years old,
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,under 18 years old,
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,18 years old and over,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,18 years old and over,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,18 years old and over,
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,18 years old and over,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,18 years old and over,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,18 years old and over,
2010,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Male,All age ranges or no breaks by age,5.0
2005,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2018,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2019,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,8.0
2007,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2008,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2009,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2018,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,3.0
2019,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,38.0
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Female,All age ranges or no breaks by age,29.0
2009,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,27.0
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Male,All age ranges or no breaks by age,8.0
2010,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2012,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2016,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2018,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2019,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,under 18 years old,26.0
2010,"Detected victims of human trafficking, by age and sex (number)",Number,Female,under 18 years old,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Female,under 18 years old,
2018,"Detected victims of human trafficking, by age and sex (number)",Number,Female,under 18 years old,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Female,under 18 years old,23.0
2010,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,
2012,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Male,under 18 years old,3.0
2010,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2012,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2016,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2018,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2019,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Both sexes or no breakdown by sex,18 years old and over,5.0
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Female,18 years old and over,
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Female,18 years old and over,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Female,18 years old and over,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Female,18 years old and over,6.0
2011,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2012,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2014,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2015,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2017,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2020,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2021,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,
2022,"Detected victims of human trafficking, by age and sex (number)",Number,Male,18 years old and over,5.0
2010,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,0.16
2015,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Female,under 18 years old,
2015,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2015,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Female,18 years old and over,
2015,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2014,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2018,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2019,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,0.5
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2022,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,33.0
2005,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2006,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
