Year,SERIES,UNIT_MEASURE,Type of product,Value
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,8.3286
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,14.28337
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,9.8403
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,11.63443
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,11.76048
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,14.20227
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,11.289
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Arms,11.289
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2010,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2018,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Clothing,15.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,6.0594
2010,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,5.6095
2015,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,5.9615
2016,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,5.7965
2017,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,6.0263
2018,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,6.027
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,5.641
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,6.3567
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,5.8073
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,5.41236
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,6.07317
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Industrial products,6.15136
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2010,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2018,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Oil,0.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,10.1987
2010,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.5043
2015,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.2258
2016,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.217
2017,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.2486
2018,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.2486
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.5292
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.5745
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.6882
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.66087
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.64818
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Textiles,9.80208
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,6.0797
2010,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,3.4821
2015,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.1827
2016,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.1422
2017,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.3214
2018,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.4105
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.2068
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.1796
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.2691
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.35067
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.24231
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Agricultural products,2.32643
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,2.3314
2010,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.7838
2015,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.323
2016,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.3079
2017,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.3212
2018,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.3784
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.4047
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.4634
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.7175
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.7729
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.86244
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,No breakdown,1.89703
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,4.9468
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,0.6097
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,1.7941
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,2.0527
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,2.6615
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,2.67578
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Arms,2.67578
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,6.7385
2010,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,7.945
2015,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,6.9181
2016,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,6.9181
2017,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,7.0286
2018,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,7.0286
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,6.4306
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,5.9718
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,7.0816
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,7.777
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,8.23962
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Clothing,8.23962
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.4504
2010,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.2943
2015,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,0.9845
2016,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,0.9755
2017,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,0.9357
2018,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,0.9357
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.0344
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.0781
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.3546
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.3967
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.48436
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Industrial products,1.50358
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2010,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2015,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2016,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2017,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2018,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Oil,0.0
2005,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,2.4615
2010,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,2.5779
2015,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,1.7332
2016,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,1.7074
2017,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,1.7783
2018,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,1.7783
2019,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,2.0361
2020,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,2.2915
2021,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,2.9717
2022,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,3.1754
2023,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,3.08535
2024,"Worldwide weighted tariff-average, preferential status, by type of product (%)",Percent,Textiles,3.1408
