Year,SERIES,AGE,COMPOSITE_BREAKDOWN,Sex,Occupation,UNIT_MEASURE,Value
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Foreign Affairs,Male,,Number,1.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Gender Equality,Male,,Number,1.0
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Gender Equality,Male,,Number,1.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_U,DEFENCE,Male,,Number,1.0
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_U,DEFENCE,Male,,Number,1.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Finance,Not available,,Number,0.0
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Finance,Not available,,Number,0.0
2023,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Finance,Not available,,Number,0.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Foreign Affairs,Not available,,Number,0.0
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Foreign Affairs,Not available,,Number,0.0
2023,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Foreign Affairs,Not available,,Number,0.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Gender Equality,Not available,,Number,0.0
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Gender Equality,Not available,,Number,0.0
2023,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",_X,Gender Equality,Not available,,Number,0.0
2021,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",,,,,Ratio,0.50835
2022,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",,,,,Ratio,0.50835
2023,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",,,,,Ratio,0.3722
2021,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber",,,,,Ratio,0.3882
2022,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber",,,,,Ratio,0.3882
2023,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber",,,,,Ratio,0.3908
2021,"Number of speakers in parliament, by age and sex, Lower Chamber or Unicameral",Y_GE46,,Female,,Number,1.0
2022,"Number of speakers in parliament, by age and sex, Lower Chamber or Unicameral",Y_GE46,,Female,,Number,1.0
2021,"Number of speakers in parliament, by age and sex, Lower Chamber or Unicameral",Y_GE46,,Male,,Number,2.0
2022,"Number of speakers in parliament, by age and sex, Lower Chamber or Unicameral",Y_GE46,,Male,,Number,3.0
2023,"Number of speakers in parliament, by age and sex, Lower Chamber or Unicameral",Y_GE46,,Male,,Number,3.0
2021,"Number of speakers in parliament, by age and sex, Upper Chamber",Y_GE46,,Male,,Number,3.0
2022,"Number of speakers in parliament, by age and sex, Upper Chamber",Y_GE46,,Male,,Number,3.0
2023,"Number of speakers in parliament, by age and sex, Upper Chamber",Y_GE46,,Male,,Number,3.0
2021,"Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral (Number)",<=45Y,,,,Number,8.0
2022,"Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral (Number)",<=45Y,,,,Number,8.0
2023,"Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral (Number)",<=45Y,,,,Number,10.0
2021,"Number of youth in parliament (age 45 or below), Upper Chamber (Number)",<=45Y,,,,Number,1.0
2022,"Number of youth in parliament (age 45 or below), Upper Chamber (Number)",<=45Y,,,,Number,1.0
2023,"Number of youth in parliament (age 45 or below), Upper Chamber (Number)",<=45Y,,,,Number,1.0
2021,"Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral (%)",<=45Y,,,,Percent,19.05
2022,"Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral (%)",<=45Y,,,,Percent,19.05
2023,"Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral (%)",<=45Y,,,,Percent,24.39
2021,"Proportion of youth in parliament (age 45 or below), Upper Chamber (%)",<=45Y,,,,Percent,6.67
2022,"Proportion of youth in parliament (age 45 or below), Upper Chamber (%)",<=45Y,,,,Percent,6.67
2023,"Proportion of youth in parliament (age 45 or below), Upper Chamber (%)",<=45Y,,,,Percent,6.67
2021,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",<=45Y,,,,Ratio,0.4312
2022,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",<=45Y,,,,Ratio,0.4312
2023,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",<=45Y,,,,Ratio,0.548
2021,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Upper Chamber",<=45Y,,,,Ratio,0.151
2022,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Upper Chamber",<=45Y,,,,Ratio,0.151
2023,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Upper Chamber",<=45Y,,,,Ratio,0.1499
