Year,SERIES,UNIT_MEASURE,Age,Degree of urbanisation,Income or wealth quantile,Sex,Type of households,Value
2011,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 3,Both sexes,All types of households,3.18
2015,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 3,Both sexes,All types of households,2.68
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 3,Both sexes,All types of households,1.08
2022,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 3,Both sexes,All types of households,1.05
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,3.43
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,2.22
2007,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,2.08
2011,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,1.59
2015,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,1.15
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,0.51
2022,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 4,Both sexes,All types of households,0.5
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,2.06
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,2.04
2007,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,1.06
2011,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,1.85
2015,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,2.47
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,0.27
2022,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Quintile 5 (richest),Both sexes,All types of households,0.3
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,Rural,Total (national average) or no breakdown,Both sexes,All types of households,19.82
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,Rural,Total (national average) or no breakdown,Both sexes,All types of households,13.86
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,Rural,Total (national average) or no breakdown,Both sexes,All types of households,10.42
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,Urban,Total (national average) or no breakdown,Both sexes,All types of households,17.4
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,Urban,Total (national average) or no breakdown,Both sexes,All types of households,7.3
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,Urban,Total (national average) or no breakdown,Both sexes,All types of households,6.19
