Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,Degree of urbanisation,Value
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,Urban,96.94
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Female,Urban,97.22
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Male,Urban,96.7
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,All areas,83.2
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Female,All areas,81.99
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Male,All areas,83.84
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,Rural,81.37
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Female,Rural,79.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Male,Rural,82.46
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 1 (poorest),Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Both sexes or no breakdown by sex,All areas,88.79
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Female,All areas,88.05
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Male,All areas,89.68
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Both sexes or no breakdown by sex,Rural,88.9
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Female,Rural,87.08
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Male,Rural,91.1
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Both sexes or no breakdown by sex,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 2,Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Both sexes or no breakdown by sex,All areas,92.34
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Female,All areas,93.24
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Male,All areas,91.67
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Both sexes or no breakdown by sex,Rural,90.3
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Female,Rural,91.89
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Male,Rural,89.15
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Both sexes or no breakdown by sex,Urban,98.51
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 3,Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Both sexes or no breakdown by sex,All areas,97.31
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Female,All areas,98.91
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Male,All areas,95.73
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Both sexes or no breakdown by sex,Rural,97.61
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Female,Rural,98.82
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Male,Rural,96.2
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Both sexes or no breakdown by sex,Urban,96.79
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 4,Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,All areas,98.18
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Female,All areas,97.77
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Male,All areas,98.53
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,Rural,99.62
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Female,Rural,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Male,Rural,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,Urban,97.66
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Female,Urban,97.25
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Quintile 5 (richest),Male,Urban,97.99
