Year,SERIES,UNIT_MEASURE,Sex,Type of skill,AGE,Degree of urbanisation,Value
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,71.8
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,90.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Sending e-mails with attached files,Y15T24,All areas,74.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Sending e-mails with attached files,Y15T24,All areas,52.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Sending e-mails with attached files,Y15T24,All areas,88.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Sending e-mails with attached files,Y15T24,All areas,78.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Sending e-mails with attached files,Y15T24,All areas,54.8
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Sending e-mails with attached files,Y15T24,All areas,88.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Sending e-mails with attached files,Y15T24,All areas,72.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Sending e-mails with attached files,Y15T24,All areas,49.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Sending e-mails with attached files,Y15T24,All areas,87.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Creating electronic presentations with presentation software,Y15T24,All areas,36.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Creating electronic presentations with presentation software,Y15T24,All areas,29.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Creating electronic presentations with presentation software,Y15T24,All areas,35.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Creating electronic presentations with presentation software,Y15T24,All areas,35.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Creating electronic presentations with presentation software,Y15T24,All areas,38.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Creating electronic presentations with presentation software,Y15T24,All areas,31.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Creating electronic presentations with presentation software,Y15T24,All areas,37.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Creating electronic presentations with presentation software,Y15T24,All areas,26.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Creating electronic presentations with presentation software,Y15T24,All areas,39.5
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,Y15T24,All areas,17.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,Y15T24,All areas,16.5
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,Y15T24,All areas,13.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,Y15T24,All areas,19.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,Y15T24,All areas,12.8
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,Y15T24,All areas,18.5
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,Y15T24,All areas,15.4
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,Y15T24,All areas,18.3
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,Y15T24,All areas,10.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,Y15T24,All areas,67.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,Y15T24,All areas,66.2
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,Y15T24,All areas,71.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,Y15T24,All areas,83.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,Y15T24,All areas,84.1
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,Y15T24,All areas,64.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,Y15T24,All areas,52.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,Y15T24,All areas,60.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,Y15T24,All areas,82.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,Y15T24,All areas,82.8
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,Y15T24,All areas,71.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,Y15T24,All areas,72.7
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,Y15T24,All areas,81.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,Y15T24,All areas,84.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,Y15T24,All areas,86.0
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,23.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,48.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,32.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,33.1
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,20.3
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,43.7
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,31.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,40.3
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,28.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,51.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,32.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,Y15T24,All areas,24.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,6.2
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,37.4
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,26.3
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,35.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,50.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,65.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,5.0
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,34.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,30.7
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,35.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,51.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,68.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,7.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,42.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,25.5
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,35.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,48.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",Y15T24,All areas,64.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Connecting and installing new devices,Y15T24,All areas,21.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Connecting and installing new devices,Y15T24,All areas,43.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Connecting and installing new devices,Y15T24,All areas,18.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Connecting and installing new devices,Y15T24,All areas,39.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Connecting and installing new devices,Y15T24,All areas,25.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Connecting and installing new devices,Y15T24,All areas,46.6
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using Internet banking,Y15T24,All areas,4.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using Internet banking,Y15T24,All areas,10.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using Internet banking,Y15T24,All areas,11.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using Internet banking,Y15T24,All areas,10.3
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using Internet banking,Y15T24,All areas,31.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using Internet banking,Y15T24,All areas,2.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using Internet banking,Y15T24,All areas,12.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using Internet banking,Y15T24,All areas,6.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using Internet banking,Y15T24,All areas,10.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using Internet banking,Y15T24,All areas,25.6
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using Internet banking,Y15T24,All areas,6.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using Internet banking,Y15T24,All areas,10.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using Internet banking,Y15T24,All areas,14.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using Internet banking,Y15T24,All areas,10.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using Internet banking,Y15T24,All areas,35.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,3.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,8.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,5.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,10.1
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,1.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,6.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,4.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,8.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,5.3
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,8.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,6.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Taking part in on-line consultations or voting to define civic or political issues,Y15T24,All areas,11.2
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Writing a computer program using a specialized programming language,Y15T24,All areas,5.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Writing a computer program using a specialized programming language,Y15T24,All areas,9.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Writing a computer program using a specialized programming language,Y15T24,All areas,3.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Writing a computer program using a specialized programming language,Y15T24,All areas,8.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Writing a computer program using a specialized programming language,Y15T24,All areas,6.3
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Writing a computer program using a specialized programming language,Y15T24,All areas,10.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",Y15T24,All areas,20.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",Y15T24,All areas,19.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",Y15T24,All areas,18.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",Y15T24,All areas,20.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",Y15T24,All areas,23.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",Y15T24,All areas,19.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",Y15T24,All areas,18.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",Y15T24,All areas,31.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",Y15T24,All areas,17.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",Y15T24,All areas,27.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",Y15T24,All areas,20.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",Y15T24,All areas,33.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Participating in social networks,Y15T24,All areas,75.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Participating in social networks,Y15T24,All areas,62.8
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Participating in social networks,Y15T24,All areas,86.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Participating in social networks,Y15T24,All areas,88.9
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Participating in social networks,Y15T24,All areas,94.8
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Participating in social networks,Y15T24,All areas,69.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Participating in social networks,Y15T24,All areas,87.5
