Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,33.79
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,36.6
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,35.07
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,65.72
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,63.12
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,52.3
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,52.72
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,61.28
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,60.46
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,63.97
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,59.2
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,65.41
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,67.34
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,58.91
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,51.36
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,45.46
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,37.94
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,42.8
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 to 24 years old,40.68
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,60.19
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,55.6
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,44.79
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,46.44
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,55.48
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,56.44
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,62.64
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,59.08
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,60.98
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,59.52
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,52.05
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,43.11
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,35.45
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,31.27
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,32.5
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 to 24 years old,31.69
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,26.02
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,24.37
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,19.88
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,20.56
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,23.17
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,23.75
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,23.82
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,23.77
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,23.47
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,23.33
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,22.04
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,17.49
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,15.9
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,13.52
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,13.6
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,12.93
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,29.59
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,28.06
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,23.15
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,22.0
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,25.64
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,26.38
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,27.01
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,26.03
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,27.36
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,26.5
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,27.2
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,20.34
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,17.66
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,16.61
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,15.8
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,25 years old and over,16.11
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,23.96
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,22.28
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,17.92
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,19.68
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,21.64
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,22.09
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,21.82
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,22.35
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,20.96
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,21.28
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,18.76
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,15.62
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,14.78
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,11.46
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,12.1
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,25 years old and over,10.7
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,17.39
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Female,15 years old and over,22.0
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Male,15 years old and over,14.4
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,38.26
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Female,15 to 24 years old,44.49
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Male,15 to 24 years old,34.53
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Both sexes or no breakdown by sex,25 years old and over,15.27
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Female,25 years old and over,19.84
2021,"Unemployment rate, by sex and age - 19th ICLS (%)",PT,Male,25 years old and over,12.29
