Year,SERIES,UNIT_MEASURE,Sex,Age,Education level,Income or wealth quantile,Degree of urbanisation,Value
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Male,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,88.71
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Male,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,79.26
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Bottom 40%,All areas,42.76
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Bottom 40%,All areas,40.77
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Bottom 40%,All areas,47.5
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Bottom 40%,All areas,72.29
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Bottom 40%,All areas,70.38
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Richest 60%,All areas,65.17
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Richest 60%,All areas,60.61
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Richest 60%,All areas,66.39
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Richest 60%,All areas,84.01
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Richest 60%,All areas,82.15
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,Rural,76.32
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,Urban,82.71
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Primary education or less,Total (national average) or no breakdown,All areas,34.15
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Primary education or less,Total (national average) or no breakdown,All areas,38.18
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Primary education or less,Total (national average) or no breakdown,All areas,39.42
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Primary education or less,Total (national average) or no breakdown,All areas,57.58
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Primary education or less,Total (national average) or no breakdown,All areas,53.8
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Secondary education or above,Total (national average) or no breakdown,All areas,67.85
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Secondary education or above,Total (national average) or no breakdown,All areas,63.14
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Secondary education or above,Total (national average) or no breakdown,All areas,69.26
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Secondary education or above,Total (national average) or no breakdown,All areas,90.08
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 years old and over,Secondary education or above,Total (national average) or no breakdown,All areas,90.29
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 to 24 years old,Total or not breakdown,Total (national average) or no breakdown,All areas,46.4
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 to 24 years old,Total or not breakdown,Total (national average) or no breakdown,All areas,34.38
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 to 24 years old,Total or not breakdown,Total (national average) or no breakdown,All areas,37.58
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 to 24 years old,Total or not breakdown,Total (national average) or no breakdown,All areas,61.03
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,15 to 24 years old,Total or not breakdown,Total (national average) or no breakdown,All areas,58.4
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,25 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,58.08
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,25 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,56.13
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,25 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,62.8
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,25 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,82.98
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,Percent,Both sexes or no breakdown by sex,25 years old and over,Total or not breakdown,Total (national average) or no breakdown,All areas,81.04
2011,Proportion of adults (15 years and older) active in the labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,76.62,
2014,Proportion of adults (15 years and older) active in the labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,69.08,
2017,Proportion of adults (15 years and older) active in the labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,77.60,
2021,Proportion of adults (15 years and older) active in the labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,91.01,
2024,Proportion of adults (15 years and older) active in the labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,91.34,
2011,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,41.61,
2014,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,40.43,
2017,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,42.98,
2021,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,62.40,
2024,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Percent,Both sexes or no breakdown by sex,15 years old and over,Total or not breakdown,Total (national average) or no breakdown,61.57,
