Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2015,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Town and semi-dense area,33.20532
2016,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Town and semi-dense area,32.12138
2017,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Town and semi-dense area,33.72101
2018,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Town and semi-dense area,34.59927
2019,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Town and semi-dense area,28.30796
2010,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,39.48627
2011,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,41.3699
2012,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,38.93669
2013,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,35.65029
2014,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,36.31329
2015,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,34.73918
2016,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,33.62895
2017,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,35.84018
2018,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,36.22323
2019,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",Micrograms per cubic meter,Urban,29.67038
