Year,SERIES,UNIT_MEASURE,Type of product,Value
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,4.75971
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,5.05564
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.33995
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.43442
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.49739
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.30594
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.54609
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.52252
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.51706
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.38303
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.52794
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.53095
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.43655
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44098
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.35425
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.48951
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44769
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.47583
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.69881
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.49026
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.75175
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.75922
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.82726
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.00305
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.94311
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.70471
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.16369
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.13542
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.09678
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.9971
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.12042
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.09826
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.02595
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.03345
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.92331
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.12377
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.03808
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.14174
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.3502
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.14346
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.41392
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.41321
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.09677
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.0703
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.05639
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.08027
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.1232
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.49246
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.50163
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.44725
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.57663
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.63231
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.26833
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.35823
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.30919
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.39631
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.4134
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.54462
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.44157
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.46571
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.41356
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.39741
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.15229
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.09481
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.16027
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.29718
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.42779
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.60424
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.80334
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.76034
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.18904
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.53458
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.55006
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.07062
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.8662
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.87385
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.93617
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.1569
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.66478
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.85336
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,5.01431
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,5.32783
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04362
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.0285
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.02694
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.0352
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.05544
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.06582
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.06925
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.07324
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.07285
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04176
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04417
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.05087
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04758
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.03768
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.03566
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04243
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04473
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04888
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04912
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.0498
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.70588
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.68107
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.64274
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.68804
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.72523
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.73455
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.81591
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.76327
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.75129
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.75533
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.76264
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.75896
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.75371
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.77249
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.78306
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.80777
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.81762
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.81097
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.80666
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.80886
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.1681
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.09772
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.08991
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.25214
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.29717
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.73427
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.6931
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.59598
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.77925
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.73648
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.54023
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.52544
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.50591
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.58568
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.59533
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.78207
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.65656
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.6808
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.66773
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.65267
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.07134
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.02743
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.03352
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.17187
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.17397
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.24181
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.19148
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.14872
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.20261
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.10417
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.14224
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.182
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.19671
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.18937
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.18193
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.23745
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.21499
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.21509
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.25417
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.25526
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.10943
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.13942
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.04607
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.08761
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.13588
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.19862
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.35223
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.42364
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.4501
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.37312
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.30845
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.31825
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.33326
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.32326
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.37169
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.40165
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.43234
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.45378
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.49092
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.48513
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,1.70518
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,1.88558
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,2.28075
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.7492
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.58777
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.45544
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.03769
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.5986
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.90705
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.05747
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.2657
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.18568
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,5.01631
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.96143
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.72279
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.34552
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.65673
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.0901
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.6217
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.47897
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,1.81461
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.025
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.32682
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.83681
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.72365
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.65407
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.38992
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.02225
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.35716
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.43059
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.57415
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.50393
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.34957
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.28469
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.09448
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.74717
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.08907
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.54387
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.11262
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.9641
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Oil shale and tar sands,0.0
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.14182
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.07056
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.06544
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.02153
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.04888
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.03877
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.00478
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.00345
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.02823
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.24947
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.29875
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.31711
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.27906
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.28708
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.26823
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.26711
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.26903
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.25212
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.20548
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.2224
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00274
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00197
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00322
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00336
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00366
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00408
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00254
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00181
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00266
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00231
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00198
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00191
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00187
