Year,SERIES,UNIT_MEASURE,Sex,AGE,Value
2022,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,17.62
2006,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,36.27
2007,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,32.48
2008,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,28.73
2009,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,26.4
2010,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,28.6
2011,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,26.69
2012,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,26.63
2013,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,24.87
2014,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,24.92
2015,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,26.54
2016,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,25.38
2017,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,25.08
2018,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,22.15
2019,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,22.72
2020,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,23.27
2021,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,19.87
2022,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Female,Y15T24,18.08
2006,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,34.74
2007,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,32.24
2008,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,26.16
2009,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,26.84
2010,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,28.85
2011,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,29.79
2012,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,31.19
2013,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,28.23
2014,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,29.05
2015,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,29.94
2016,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,28.6
2017,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,25.86
2018,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,23.1
2019,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,22.5
2020,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,20.41
2021,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,18.77
2022,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Male,Y15T24,17.19
2021,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,20.16
2022,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,18.46
2021,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Female,Y15T24,20.63
2022,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Female,Y15T24,18.8
2021,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Male,Y15T24,19.72
2022,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Male,Y15T24,18.14
