Year,SERIES,UNIT_MEASURE,Sex,Occupation,Value
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.1
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.1
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.3
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.2
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.3
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.3
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.5
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.8
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.0
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,2.9
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.0
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.2
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.1
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.4
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.3
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.4
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Service and sales workers,3.7
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.2
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.2
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.2
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.6
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.0
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",4.1
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",3.4
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Skilled agricultural, forestry and fishery workers",4.6
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.6
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.4
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.5
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.5
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.8
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.6
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.8
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,3.9
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,4.1
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Craft and related trades workers,4.3
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.6
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.5
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.6
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.6
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.6
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.8
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.6
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",4.0
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",3.9
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,"Plant and machine operators, and assemblers",4.3
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.0
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.0
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.1
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,2.9
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.1
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.0
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.3
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.2
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Elementary occupations,3.6
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.8
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.7
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.8
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.8
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.9
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.9
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.9
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,3.9
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,4.1
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,All occupations,4.2
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,4.7
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,5.9
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,6.9
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,6.6
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,7.2
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,6.9
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,6.9
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,5.1
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,6.2
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Managers,7.8
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,6.0
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,5.7
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,5.7
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,5.7
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,6.0
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,6.2
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,5.5
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,5.8
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,5.9
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Professionals,6.2
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.1
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.0
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.2
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.2
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.3
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.3
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.3
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.6
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.7
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Technicians and associate professionals,4.7
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,3.6
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.1
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.1
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.1
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.1
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.2
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.5
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Clerical support workers,4.5
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.6
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.6
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.5
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.7
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.7
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.7
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.0
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,2.9
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.0
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.1
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Skilled agricultural, forestry and fishery workers",2.3
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Skilled agricultural, forestry and fishery workers",2.7
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Skilled agricultural, forestry and fishery workers",3.3
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Skilled agricultural, forestry and fishery workers",3.4
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.3
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.3
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.4
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.4
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.4
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.3
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.9
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,2.5
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,3.0
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Craft and related trades workers,3.2
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.4
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.8
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.4
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.1
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.3
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.9
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",3.2
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.8
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",2.9
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,"Plant and machine operators, and assemblers",3.4
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.8
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.6
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.9
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.7
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.8
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.8
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,2.9
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,3.3
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,3.0
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Elementary occupations,3.3
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.0
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.0
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.1
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.3
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.2
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.3
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.4
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.4
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,All occupations,4.8
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.0
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,4.7
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,4.7
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.4
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,4.6
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.4
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.0
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.7
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Armed forces occupations,5.3
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,6.9
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,7.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,6.8
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,7.8
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,7.3
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,7.7
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,7.7
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,6.8
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,6.9
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Managers,8.9
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.5
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.2
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,5.9
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.6
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.6
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.7
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.5
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.4
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,6.5
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Professionals,7.1
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.4
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.5
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.6
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.8
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.9
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.8
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.6
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,4.8
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,5.0
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Technicians and associate professionals,5.3
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,3.7
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,3.4
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.1
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.2
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.5
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.2
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.6
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.4
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,4.7
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Clerical support workers,5.1
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.3
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.5
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.2
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.4
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.6
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.5
