Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2015,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,8.2
2016,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,8.0
2017,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.9
2018,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.9
2019,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.8
2020,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.7
2021,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.6
2022,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.5
2023,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.4
2024,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,7.4
2000,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,13.4
2001,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,12.6
2002,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,12.3
2003,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,12.1
2004,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,11.9
2005,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,11.7
2006,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,11.6
2007,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,11.6
2008,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,11.3
2009,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,10.9
2010,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,10.6
2011,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,10.2
2012,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.8
2013,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.6
2014,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.4
2015,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.3
2016,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.1
2017,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.0
2018,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,9.0
2019,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,8.9
2020,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,8.8
2021,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,8.7
2022,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,8.6
2023,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,8.5
2024,Proportion of children moderately or severely stunted,Percent,under 5 years old,Male,8.4
