Year,SERIES,UNIT_MEASURE,Sex,AGE,Value
2012,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,14.0
2013,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,14.5
2014,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,13.7
2015,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,13.1
2016,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,12.9
2017,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,11.8
2018,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,12.2
2019,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,10.9
2020,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,12.9
2021,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,11.9
2022,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,12.1
2023,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,12.1
2010,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.7
2011,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.9
2012,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,15.0
2013,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,15.0
2014,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.9
2015,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.7
2016,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.7
2017,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,12.1
2018,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.1
2019,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,10.7
2020,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.3
2021,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,12.6
2022,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.0
2023,Participation rate in formal and non-formal education and training,Percent,Female,Y15T64,13.2
2010,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,13.0
2011,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,12.8
2012,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,12.9
2013,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,14.0
2014,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,13.5
2015,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,12.3
2016,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,12.0
2017,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,11.4
2018,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,11.2
2019,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,11.1
2020,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,12.5
2021,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,11.1
2022,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,11.2
2023,Participation rate in formal and non-formal education and training,Percent,Male,Y15T64,11.0
2010,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.7
2011,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.8
2012,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.8
2013,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,3.0
2014,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.4
2015,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.3
2016,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.6
2017,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,1.8
2018,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,1.9
2019,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.1
2020,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,3.8
2021,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.2
2022,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.2
2023,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y25T54,2.2
2010,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.6
2011,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.9
2012,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,3.0
2013,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,3.1
2014,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.3
2015,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.6
2016,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.9
2017,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,1.9
2018,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.1
2019,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.2
2020,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,4.0
2021,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.3
2022,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.6
2023,Participation rate in formal and non-formal education and training,Percent,Female,Y25T54,2.5
2010,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,2.7
2011,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,2.8
2012,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,2.6
2013,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,3.0
2014,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,2.5
2015,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,1.9
2016,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,2.2
2017,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,1.5
2018,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,1.7
2019,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,1.9
2020,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,3.6
2021,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,2.1
2022,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,1.9
2023,Participation rate in formal and non-formal education and training,Percent,Male,Y25T54,1.z
2012,Participation rate in formal and non-formal education and training,Percent,Both sexes or no breakdown by sex,Y55T64,
2013,Participation rate in formal and non-formal education and training,Percent,Both sexes or no breakdown by sex,Y55T64,
2012,Participation rate in formal and non-formal education and training,Percent,Female,Y55T64,
2013,Participation rate in formal and non-formal education and training,Percent,Female,Y55T64,
2012,Participation rate in formal and non-formal education and training,Percent,Male,Y55T64,
2013,Participation rate in formal and non-formal education and training,Percent,Male,Y55T64,
