Year,SERIES,UNIT_MEASURE,Age,Sex,Degree of urbanisation,Value
2022,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,3.3
2023,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,2.4
2015,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,1.7
2016,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,2.1
2017,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,1.6
2018,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,1.7
2019,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,2.0
2020,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,2.8
2021,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,2.9
2022,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,2.2
2023,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,1.3
2015,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,1.5
2016,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,1.8
2017,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,1.3
2018,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,1.5
2019,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,1.9
2020,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,2.8
2021,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,3.1
2022,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,2.8
2023,Prevalence of severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,1.9
2015,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,157.2
2016,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,147.3
2017,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,124.7
2018,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,131.0
2019,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,159.1
2020,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,210.8
2021,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,232.1
2022,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,230.7
2023,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,171.2
2015,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,132.5
2016,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,157.1
2017,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,130.1
2018,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,135.8
2019,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,131.3
2020,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,149.8
2021,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,149.6
2022,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,142.6
2023,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,105.1
2015,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,337.6
2016,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,356.7
2017,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,297.8
2018,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,311.2
2019,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,335.7
2020,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,414.3
2021,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,436.8
2022,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,426.3
2023,Population in moderate or severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,314.9
2015,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2016,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2017,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2018,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2019,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2020,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2021,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2022,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2023,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Female,,100.0
2015,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2016,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2017,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2018,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2019,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2020,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2021,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2022,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2023,Population in severe food insecurity (thousands of people),THOUSANDS,15 years old and over,Male,,100.0
2015,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2016,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2017,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2018,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2019,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2020,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2021,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,102.4
2022,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
2023,Population in severe food insecurity (thousands of people),THOUSANDS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,100.0
