Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,0.08
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,0.08
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,0.52
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,0.27
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,0.19
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,0.22
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Оба пола или без подјеле по полу,0.19
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,1.32
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,0.71
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,0.5
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,0.58
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Жене,0.43
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,0.1
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,0.05
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,0.04
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,0.04
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 до 24 године,Мушкарци,0.03
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,0.18
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,0.1
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,0.07
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,0.08
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Оба пола или без подјеле по полу,0.06
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,0.17
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,0.09
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,0.07
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,0.08
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Жене,0.05
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,0.19
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,0.1
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,0.07
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,0.08
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,25 година и више,Мушкарци,0.06
2007,Удио становништва које живи испод међународне линије сиромаштва,Проценат,млађи од 15 година,Оба пола или без подјеле по полу,0.04839
2011,Удио становништва које живи испод међународне линије сиромаштва,Проценат,млађи од 15 година,Оба пола или без подјеле по полу,0.13127
2007,Удио становништва које живи испод међународне линије сиромаштва,Проценат,15 do 64 godine,Оба пола или без подјеле по полу,0.06759
2011,Удио становништва које живи испод међународне линије сиромаштва,Проценат,15 do 64 godine,Оба пола или без подјеле по полу,0.07291
2007,Удио становништва које живи испод међународне линије сиромаштва,Проценат,65 година и више,Оба пола или без подјеле по полу,0.08233
2011,Удио становништва које живи испод међународне линије сиромаштва,Проценат,65 година и више,Оба пола или без подјеле по полу,0.02531
2001,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,0.3
2004,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,0.2
2007,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,0.1
2011,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,0.1
2007,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Жене,0.04908
2011,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Жене,0.08008
2007,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Мушкарци,0.08465
2011,Удио становништва које живи испод међународне линије сиромаштва,Проценат,Сви старосни распони или нема подјеле по годинама,Мушкарци,0.06966
