Year,SERIES,UNIT_MEASURE,Ниво образовања,Квантил дохотка или богатства,Пол,Степен урбанизације,Value
2013,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,97.99
2014,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,98.02
2015,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,98.05
2016,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,98.08
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Рурално,96.36
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Жене,Рурално,96.55
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Рурално,96.2
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Урбано,97.89
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Жене,Урбано,97.72
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Урбано,98.04
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,Сва подручја,90.82
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 1 (најсиромашнији),Жене,Сва подручја,86.99
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 1 (најсиромашнији),Мушкарци,Сва подручја,95.47
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,Рурално,92.15
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 1 (најсиромашнији),Жене,Рурално,90.75
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 1 (најсиромашнији),Мушкарци,Рурално,94.24
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 2,Оба пола или без подјеле по полу,Сва подручја,93.88
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 2,Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 2,Мушкарци,Сва подручја,89.37
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 2,Оба пола или без подјеле по полу,Рурално,94.71
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 2,Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 2,Мушкарци,Рурално,91.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Оба пола или без подјеле по полу,Сва подручја,98.8
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Мушкарци,Сва подручја,97.73
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Оба пола или без подјеле по полу,Рурално,98.43
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Мушкарци,Рурално,97.22
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 3,Оба пола или без подјеле по полу,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Оба пола или без подјеле по полу,Сва подручја,98.42
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Жене,Сва подручја,96.83
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Мушкарци,Сва подручја,99.86
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Оба пола или без подјеле по полу,Рурално,97.44
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Жене,Рурално,94.89
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Мушкарци,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Оба пола или без подјеле по полу,Урбано,99.82
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 4,Мушкарци,Урбано,99.68
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Мушкарци,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Мушкарци,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Ниже средње образовање,Квантил 5 (најбогатији),Мушкарци,Урбано,100.0
2010,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.48
2011,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.51
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.74
2013,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.56
2014,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.59
2015,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.61
2016,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,99.63
2010,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.61
2011,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.65
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.89
2013,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.72
2014,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.76
2015,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.79
2016,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,99.8
2010,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.35
2011,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.37
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.59
2013,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.4
2014,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.43
2015,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.44
2016,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,99.46
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,Сва подручја,99.67
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Жене,Сва подручја,99.41
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Мушкарци,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,Рурално,99.81
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Жене,Рурално,99.66
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Мушкарци,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Жене,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 1 (најсиромашнији),Мушкарци,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Оба пола или без подјеле по полу,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Мушкарци,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Оба пола или без подјеле по полу,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Мушкарци,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Оба пола или без подјеле по полу,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Жене,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 2,Мушкарци,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Оба пола или без подјеле по полу,Сва подручја,98.93
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Мушкарци,Сва подручја,98.07
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Оба пола или без подјеле по полу,Рурално,98.72
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Мушкарци,Рурално,97.8
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Оба пола или без подјеле по полу,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Жене,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 3,Мушкарци,Урбано,
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Оба пола или без подјеле по полу,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Мушкарци,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Оба пола или без подјеле по полу,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Мушкарци,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Оба пола или без подјеле по полу,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Жене,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 4,Мушкарци,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Жене,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Мушкарци,Сва подручја,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Жене,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Мушкарци,Рурално,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Жене,Урбано,100.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Основно образовање,Квантил 5 (најбогатији),Мушкарци,Урбано,10.0
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Сва подручја,93.06
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,Сва подручја,93.49
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Сва подручја,92.7
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Рурално,90.9
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,Рурално,91.4
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Рурално,90.47
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,Урбано,96.94
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,Урбано,97.22
2012,"Стопа завршетка студија према полу, локацији, квинтилу богатства и нивоу образовања (%)",Проценат,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,Урбано,96.7
