Year,SERIES,UNIT_MEASURE,Године,Пол,Степен урбанизације,Value
2015,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2016,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2017,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2018,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2019,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2020,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2021,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2022,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2023,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2015,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2016,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2017,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2018,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2019,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2020,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2021,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2022,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2023,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2015,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2016,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2017,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2018,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2019,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2020,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2021,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,102.4
2022,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
2023,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,100.0
