Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2017,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,9.0
2018,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,8.5
2019,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,8.1
2020,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,7.8
2021,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,7.5
2022,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,7.4
2023,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,7.4
2000,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,23.0
2001,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,24.2
2002,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,24.6
2003,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,24.6
2004,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,24.4
2005,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,24.4
2006,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,23.9
2007,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,23.0
2008,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,21.9¸
2009,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,20.7
2010,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,19.4
2011,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,18.0
2012,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,16.6
2013,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,15.2
2014,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,13.9
2015,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,12.7
2016,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,11.7
2017,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,10.9
2018,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,10.3
2019,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,9.8
2020,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,9.4
2021,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,9.1
2022,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,9.0
2023,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Мушкарци,8.9
2000,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,17.9
2001,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,19.2
2002,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,20.2
2003,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,21.1
2004,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,21.7
2005,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,22.1
2006,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,22.2
2007,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,21.9
2008,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,21.4
2009,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,20.8
2010,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,20.0
2011,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,19.2
2012,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,18.3
2013,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,17.3
2014,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,16.4
2015,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,15.5
2016,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,14.6
2017,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,13.9
2018,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,13.2
2019,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,12.7
2020,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,12.3
2021,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,12.2
2022,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,12.2
2023,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Оба пола,12.5
2000,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,16.8
2001,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,18.1
2002,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,19.0
2003,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,19.9
2004,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,20.5
2005,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,20.9
2006,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,21.0
2007,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,20.7
2008,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,20.3
2009,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,19.7
2010,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,18.9
2011,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,18.1
2012,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,17.2
2013,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,16.3
2014,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,15.4
2015,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,14.5
2016,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,13.7
2017,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,13.0
2018,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,12.4
2019,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,11.9
2020,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,11.6
2021,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,11.4
2022,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,11.5
2023,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Жене,11.7
2000,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,19.0
2001,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,20.3
2002,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,21.4
2003,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,22.3
2004,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,23.0
2005,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,23.4
2006,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,23.5
2007,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,23.2
2008,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,22.7
2009,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,22.0
2010,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,21.2
2011,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,20.3
2012,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,19.4
2013,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,18.4
2014,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,17.4
2015,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,16.4
2016,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,15.5
2017,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,14.7
2018,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,14.1
2019,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,13.5
2020,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,13.2
2021,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,13.0
2022,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,13.0
2023,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,PER_POP_U5,Испод 5 година,Мушкарци,13.3
2000,Удио дјеце која су умјерено или озбиљно исцрпљена,PER_POP_U5,Испод 5 година,,7.4
2006,Удио дјеце која су умјерено или озбиљно исцрпљена,PER_POP_U5,Испод 5 година,,4.0
2012,Удио дјеце која су умјерено или озбиљно исцрпљена,PER_POP_U5,Испод 5 година,,2.3
2000,Дјеца умјерено или озбиљно исцрпљена (хиљаде),Хиљаде,Испод 5 година,,17.4
2006,Дјеца умјерено или озбиљно исцрпљена (хиљаде),Хиљаде,Испод 5 година,,7.9
2012,Дјеца умјерено или озбиљно исцрпљена (хиљаде),Хиљаде,Испод 5 година,,3.8
