Year,SERIES,UNIT_MEASURE,Врста производа,Value
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2010,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2015,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2016,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2017,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2018,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Нафта или уље,0.0
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,10.1987
2010,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.5043
2015,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.2258
2016,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.217
2017,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.2486
2018,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.2486
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.5292
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.5745
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Текстил,9.6882
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,6.0797
2010,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,3.4821
2015,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.1827
2016,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.1422
2017,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.3214
2018,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.4105
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.2068
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.1796
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Пољопривредни производи,2.2691
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,2.3314
2010,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.7838
2015,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.323
2016,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.3079
2017,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.3212
2018,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.3784
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.4047
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.4634
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,_T,1.7175
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Оружје,4.9468
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Оружје,0.6097
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Оружје,1.7941
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Оружје,2.0527
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,6.7385
2010,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,7.945
2015,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,6.9181
2016,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,6.9181
2017,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,7.0286
2018,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,7.0286
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,6.4306
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,5.9718
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Одјећа,7.0816
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,1.4504
2010,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,1.2943
2015,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,0.9845
2016,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,0.9755
2017,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,0.9357
2018,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,0.9357
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,1.0344
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,1.0781
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Индустријски производи,1.3546
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2010,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2015,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2016,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2017,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2018,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Нафта или уље,0.0
2005,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,2.4615
2010,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,2.5779
2015,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,1.7332
2016,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,1.7074
2017,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,1.7783
2018,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,1.7783
2019,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,2.0361
2020,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,2.2915
2021,"Свјетски пондерисани тарифни просјек, преференцијални статус, према врсти производа (%)",PT,Текстил,2.9717
