Year,SERIES,UNIT_MEASURE,Пол,Године,Ниво образовања,Квантил дохотка или богатства,Степен урбанизације,Value
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најсиромашнији 40%,Сва подручја,40.77
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најсиромашнији 40%,Сва подручја,47.5
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најсиромашнији 40%,Сва подручја,72.29
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најсиромашнији 40%,Сва подручја,70.38
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најбогатијих 60%,Сва подручја,65.17
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најбогатијих 60%,Сва подручја,60.61
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најбогатијих 60%,Сва подручја,66.39
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најбогатијих 60%,Сва подручја,84.01
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најбогатијих 60%,Сва подручја,82.15
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Рурално,76.32
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Урбано,82.71
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Основно образовање или ниже,Укупно (национални просјек) или без подјеле,Сва подручја,34.15
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Основно образовање или ниже,Укупно (национални просјек) или без подјеле,Сва подручја,38.18
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Основно образовање или ниже,Укупно (национални просјек) или без подјеле,Сва подручја,39.42
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Основно образовање или ниже,Укупно (национални просјек) или без подјеле,Сва подручја,57.58
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Основно образовање или ниже,Укупно (национални просјек) или без подјеле,Сва подручја,53.8
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Средње образовање или више,Укупно (национални просјек) или без подјеле,Сва подручја,67.85
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Средње образовање или више,Укупно (национални просјек) или без подјеле,Сва подручја,63.14
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Средње образовање или више,Укупно (национални просјек) или без подјеле,Сва подручја,69.26
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Средње образовање или више,Укупно (национални просјек) или без подјеле,Сва подручја,90.08
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Средње образовање или више,Укупно (национални просјек) или без подјеле,Сва подручја,90.29
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 до 24 године,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,46.4
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 до 24 године,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,34.38
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 до 24 године,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,37.58
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 до 24 године,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,61.03
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 до 24 године,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,58.4
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,25 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,58.08
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,25 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,56.13
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,25 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,62.8
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,25 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,82.98
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,25 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,81.04
2011,Проценат одраслих (15 година и више) активних у радној снази са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,76.62
2014,Проценат одраслих (15 година и више) активних у радној снази са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,69.08
2017,Проценат одраслих (15 година и више) активних у радној снази са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,77.6
2021,Проценат одраслих (15 година и више) активних у радној снази са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,91.01
2024,Проценат одраслих (15 година и више) активних у радној снази са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,91.34
2011,Проценат одраслих (15 година и старији) ван радне снаге са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,41.61
2014,Проценат одраслих (15 година и старији) ван радне снаге са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,40.43
2017,Проценат одраслих (15 година и старији) ван радне снаге са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,42.98
2021,Проценат одраслих (15 година и старији) ван радне снаге са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,62.4
2024,Проценат одраслих (15 година и старији) ван радне снаге са рачуном у финансијској институцији или пружаоцу услуга мобилног новца (% одраслих старијих од 15 година),Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,61.57
