Year,SERIES,UNIT_MEASURE,Привредна активност,Пол,Године,Value
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,33.7
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,31.5
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,29.3
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,30.1
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,30.5
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,24.8
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,22.1
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,23.1
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,14.3
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,20.68
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,19.89
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,95.6
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,97.3
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,96.1
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,96.3
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,95.9
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,96.6
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,96.1
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,96.0
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,94.0
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,95.0
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,96.7
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,88.9
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,84.2,
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,88.4
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,79.4
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,89.98
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,92.59
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,18.9
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,16.9
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,15.7
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,12.8
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,14.3
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,12.0
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,13.2
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,12.8
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,12.5
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,13.8
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,12.7
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,10.6
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,10.5
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,7.8
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,6.64
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,6.94
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,5.55
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,35.8
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,34.0
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,33.6
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,34.3
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,32.9
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,29.7
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,32.0
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,28.7
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,26.8
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,27.5
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,27.6
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,26.3
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,22.3
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,24.3
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,16.79
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,25.72
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,24.79
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,85.9
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,87.1
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,88.2
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,87.0
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,86.3
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,86.6
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,87.2
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,87.9
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,87.2
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,87.3
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,86.2
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,65.5
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,65.7
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,72.4
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,52.51
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,66.44
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,68.73
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,27.6
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,27.3
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,24.1
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,21.3
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,20.2
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,18.8
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,22.1
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,20.6
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,19.4
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,19.1
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,20.2
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,14.3
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,14.0
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,12.6
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,7.95
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,9.32
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,8.58
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,39.2
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,38.6
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,36.7
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,33.5
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,32.1
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,31.6
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,34.7
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,33.2
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,30.8
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,31.7
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,32.1
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,24.0
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,22.0
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,22.4
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,12.74
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,17.4
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,16.64
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,56.14
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,51.11
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,72.93
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Жене,15 година и више,66.26
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,45.69
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,15 година и више,44.67
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,8.44
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,7.45
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,6.94
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Непољопривредна,Жене,15 година и више,5.55
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,9.32
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Непољопривредна,Мушкарци,15 година и више,8.59
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,12.94
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,10.62
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,13.38
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Без пођеле,Жене,15 година и више,9.11
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,12.68
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процjене ИЛО) - 19. ICLS (%)",Проценат,Без пођеле,Мушкарци,15 година и више,11.49
