Year,SERIES,UNIT_MEASURE,Године,Степен урбанизације,Квантил дохотка или богатства,Пол,Tipovi domaćinstva,Value
2001,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,"Домаћинства укључују одрасле који живе са особама млађим од 20 година (деца и или адолесценти), као и старије одрасле особе (60 година и више)",30.34
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,"Домаћинства укључују одрасле који живе са особама млађим од 20 година (деца и или адолесценти), као и старије одрасле особе (60 година и више)",16.66
2001,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Домаћинства састављена искључиво од старијих особа (60 година и више),18.3
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Домаћинства састављена искључиво од старијих особа (60 година и више),7.47
2004,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Жене,Све врсте домаћинстава,11.27
2007,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Жене,Све врсте домаћинстава,14.35
2011,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Жене,Све врсте домаћинстава,10.98
2015,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Жене,Све врсте домаћинстава,9.73
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Жене,Све врсте домаћинстава,7.12
2022,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Жене,Све врсте домаћинстава,7.49
2004,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Мушкарци,Све врсте домаћинстава,11.24
2007,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Мушкарци,Све врсте домаћинстава,13.43
2011,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Мушкарци,Све врсте домаћинстава,12.49
2015,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Мушкарци,Све врсте домаћинстава,11.17
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Мушкарци,Све врсте домаћинстава,8.88
2022,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Мушкарци,Све врсте домаћинстава,8.81
