Year,SERIES,UNIT_MEASURE,Ниво образовања,Квантил дохотка или богатства,Пол,Врста вјештина,Степен урбанизације,Године,Value
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,Оба пола или без подјеле по полу,,Сва подручја,,1.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,Жене,,Сва подручја,,1.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,Мушкарци,,Сва подручја,,1.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,,Сва подручја,,1.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),Жене,,Сва подручја,,1.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),Мушкарци,,Сва подручја,,1.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),Жене,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),Мушкарци,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,Оба пола или без подјеле по полу,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,Жене,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,Мушкарци,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,Оба пола или без подјеле по полу,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,Жене,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,Мушкарци,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Оба пола или без подјеле по полу,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Жене,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Мушкарци,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),Жене,,Сва подручја,,
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),Мушкарци,,Сва подручја,,
2010,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2011,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2013,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2014,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2015,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2016,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 2,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 3,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 4,,,Сва подручја,,0.96968
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 5 (најбогатији),,,Сва подручја,,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Рурално,,1.00371
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),,,Рурално,,0.96297
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 2,,,Рурално,,1.08995
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 3,,,Рурално,,1.02782
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 4,,,Рурално,,0.94893
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 5 (најбогатији),,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 2,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 3,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 4,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 5 (најбогатији),,,Урбано,,
2010,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2011,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2013,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2014,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2015,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2016,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 1 (најсиромашнији),,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 1 (најсиромашнији),,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 1 (најсиромашнији),,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,,,Урбано,,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),,,Урбано,,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2015,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2016,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),,,Сва подручја,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),,,Рурално,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,,,Урбано,,
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),,,Урбано,,
