Year,SERIES,UNIT_MEASURE,Пол,OCCUPATION,Value
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,7.26
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,7.04
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,6.51
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,6.22
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,7.05
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,5.89
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-2,10.22
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.57
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.84
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.44
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.93
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.58
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.64
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,4.44
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-3,8.5
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,3.65
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,7.73
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,4.4
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,4.11
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,4.74
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,4.28
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,4.9
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-4,8.11
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,2.96
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,3.52
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,2.96
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,3.28
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,3.44
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,3.36
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,3.39
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-5,6.1
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,3.25
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,3.21
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,3.45
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,3.15
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,3.67
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,3.18
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,4.11
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-6,6.93
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,3.62
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,3.68
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,4.08
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,3.81
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,3.92
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,3.75
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,4.02
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-7,10.88
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.65
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.7
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.64
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.58
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.61
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.89
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,3.69
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-8,8.45
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,3.01
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,3.63
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,3.15
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,3.81
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,3.19
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,4.25
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,3.42
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Оба пола или без подјеле по полу,isco08-9,6.05
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,3.96
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,4.99
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,4.26
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,4.22
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,4.05
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,4.61
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,4.01
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08,7.3
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-0,11.1
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,4.66
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,5.87
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,7.07
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,6.58
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,7.33
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,7.58
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,6.94
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-1,10.44
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,6.44
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,7.02
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,8.0
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,5.82
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,5.93
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,7.18
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,5.46
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-2,10.61
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.78
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.08
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.28
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.83
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.26
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.45
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,4.27
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-3,8.2
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,3.62
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,9.0
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,4.13
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,4.05
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,4.87
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,4.28
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,5.14
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-4,8.24
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,2.62
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,2.99
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,2.62
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,2.93
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,2.79
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.05
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.04
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,4.93
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-6,2.3
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-6,2.75
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-6,5.57
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,2.26
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,2.34
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,2.44
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,3.18
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,2.73
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,2.36
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,3.01
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-7,6.35
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,2.39
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,2.84
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,2.53
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,2.21
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,2.44
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,2.92
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,3.19
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-8,4.61
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,2.8
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,2.63
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,2.94
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,4.23
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,2.83
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,5.34
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,2.91
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-9,5.11
2006,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,3.0
2007,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,3.17
2008,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,3.69
2006,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,3.93
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.06
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.68
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.21
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.39
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.4
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.34
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,4.38
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08,9.12
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,4.98
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,5.03
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,4.74
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,6.74
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,5.44
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,4.73
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,5.35
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-0,8.03
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,6.85
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,7.12
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,6.75
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,7.77
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,7.32
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,8.68
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,7.64
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-1,11.1
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,6.63
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,7.54
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,6.02
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,7.42
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,6.58
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,6.88
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,6.45
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-2,9.71
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,4.41
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,5.48
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,4.59
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,5.02
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,4.86
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,4.8
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,4.57
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-3,8.79
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,3.71
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,5.62
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,4.86
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,4.19
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,4.54
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,4.28
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,4.57
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-4,7.98
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.27
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,4.0
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.26
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.59
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.98
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.65
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,3.74
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Жене,isco08-5,7.31
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,3.29
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,3.45
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,3.62
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,3.2
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,3.58
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,3.24
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,4.28
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-6,7.19
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,3.81
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,3.92
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,4.3
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,3.91
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,4.14
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,4.01
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,4.21
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-7,11.88
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.8
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.79
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.78
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.76
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.71
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.98
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,3.73
2020,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-8,8.74
2010,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,3.15
2011,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,4.24
2012,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,3.27
2013,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,3.52
2014,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,3.45
2015,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,3.3
2016,Просјечна зарада по сату запослених према сполу и занимању (национална валута),у KM,Мушкарци,isco08-9,3.74
