Year,SERIES,UNIT_MEASURE,Пол,Value
2017,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,42.0
2018,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,39.0
2019,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,42.0
2020,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,43.0
2021,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,32.0
2022,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,35.0
2000,VC_IHR_PSRCN,Број,Жене,20.0
2001,VC_IHR_PSRCN,Број,Жене,29.0
2002,VC_IHR_PSRCN,Број,Жене,25.0
2009,VC_IHR_PSRCN,Број,Жене,15.0
2010,VC_IHR_PSRCN,Број,Жене,10.0
2011,VC_IHR_PSRCN,Број,Жене,16.0
2012,VC_IHR_PSRCN,Број,Жене,24.0
2013,VC_IHR_PSRCN,Број,Жене,14.0
2014,VC_IHR_PSRCN,Број,Жене,11.0
2015,VC_IHR_PSRCN,Број,Жене,18.0
2016,VC_IHR_PSRCN,Број,Жене,15.0
2017,VC_IHR_PSRCN,Број,Жене,10.0
2018,VC_IHR_PSRCN,Број,Жене,8.0
2019,VC_IHR_PSRCN,Број,Жене,10.0
2020,VC_IHR_PSRCN,Број,Жене,5.0
2021,VC_IHR_PSRCN,Број,Жене,7.0
2022,VC_IHR_PSRCN,Број,Жене,12.0
2000,VC_IHR_PSRCN,Број,Мушкарци,79.0
2001,VC_IHR_PSRCN,Број,Мушкарци,53.0
2002,VC_IHR_PSRCN,Број,Мушкарци,65.0
2009,VC_IHR_PSRCN,Број,Мушкарци,56.0
2010,VC_IHR_PSRCN,Број,Мушкарци,46.0
2011,VC_IHR_PSRCN,Број,Мушкарци,35.0
2012,VC_IHR_PSRCN,Број,Мушкарци,39.0
2013,VC_IHR_PSRCN,Број,Мушкарци,32.0
2014,VC_IHR_PSRCN,Број,Мушкарци,39.0
2015,VC_IHR_PSRCN,Број,Мушкарци,39.0
2016,VC_IHR_PSRCN,Број,Мушкарци,30.0
2017,VC_IHR_PSRCN,Број,Мушкарци,32.0
2018,VC_IHR_PSRCN,Број,Мушкарци,31.0
2019,VC_IHR_PSRCN,Број,Мушкарци,32.0
2020,VC_IHR_PSRCN,Број,Мушкарци,38.0
2021,VC_IHR_PSRCN,Број,Мушкарци,25.0
2022,VC_IHR_PSRCN,Број,Мушкарци,22.0
