Year,SERIES,UNIT_MEASURE,Пол,Занимање,Value
2018,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.45
2019,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.57
2013,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Медицинско особље,79.5
2014,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Медицинско особље,78.2
2015,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Медицинско особље,78.6
2016,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Медицинско особље,78.2
2017,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Медицинско особље,77.7
2018,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Медицинско особље,77.5
2013,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Медицинско особље,20.5
2014,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Медицинско особље,21.8
2015,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Медицинско особље,21.4
2016,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Медицинско особље,21.8
2017,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Медицинско особље,22.3
2018,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Медицинско особље,22.5
2003,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2004,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2005,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,57.4
2006,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2007,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2008,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2009,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2010,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,60.6
2011,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2012,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2013,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,
2015,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,61.4
2019,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Жене,Доктори медицине,62.8
2003,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2004,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2005,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,42.6
2006,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2007,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2008,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2009,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2010,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,39.4
2011,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2012,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2013,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,
2015,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,38.6
2019,"Расподјела здравствених радника, по сполу и врсти занимања (%)",Проценат,Мушкарци,Доктори медицине,37.2
