Year,SERIES,Године,COMPOSITE_BREAKDOWN,Пол,Занимање,UNIT_MEASURE,Value
2025,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",млађи од 45 година,Финансије,Жене,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",млађи од 45 година,Финансије,Жене,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",41 година и више,Финансије,Жене,,Број,1.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",41 година и више,Финансије,Мушкарци,,Број,1.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Непознато,Одбрана,Мушкарци,,Број,1.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Финансије,Није доступно,,Број,0.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Непознато,Финансије,Непознато,,Број,1.0
2025,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",46 година и више,Финансије,Жене,,Број,1.0
2021,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Спољни poslovi,Није доступно,,Број,0.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Спољни poslovi,Није доступно,,Број,0.0
2023,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Спољни poslovi,Није доступно,,Број,0.0
2021,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Равноправност полова,Није доступно,,Број,0.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Равноправност полова,Није доступно,,Број,0.0
2023,"Број предсједавајућих сталних одбора, према старости и полу, горњи дом",Није доступно,Равноправност полова,Није доступно,,Број,0.0
2021,"Пропорција женских чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у доњем дому или једнодомном парламенту""",,,,,Однос,0.50835
2022,"Пропорција женских чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у доњем дому или једнодомном парламенту""",,,,,Однос,0.50835
2025,"Пропорција женских чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у доњем дому или једнодомном парламенту""",,,,,Однос,0.357591
2026,"Пропорција женских чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у доњем дому или једнодомном парламенту""",,,,,Однос,0.35759
2022,"Пропорција за женске чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у горњем дому""",,,,,Однос,0.38819
2025,"Пропорција за женске чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у горњем дому""",,,,,Однос,0.12516
2026,"Пропорција за женске чланове парламената (Однос удјела жена у парламенту у удјелу жена у националном становништву са старосном подобношћу као доња граница), у горњем дому""",,,,,Однос,0.0
2021,"Број говорника у парламенту, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,,Жене,,Број,1.0
2022,"Број говорника у парламенту, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,,Жене,,Број,1.0
2022,"Број говорника у парламенту, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,,Мушкарци,,Број,2.0
2025,"Број говорника у парламенту, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,,Мушкарци,,Број,3.0
2026,"Број говорника у парламенту, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,,Мушкарци,,Број,3.0
2026,"Број говорника у парламенту, према старости и полу, у доњем дому или једнодомном парламенту",41 година и више,,Мушкарци,,Број,3.0
2026,"Број говорника у парламенту, према старости и полу, у горњем дому",41 година и више,,Мушкарци,,Број,3.0
2022,"Број говорника у парламенту, према старости и полу, у горњем дому",46 година и више,,Мушкарци,,Број,3.0
2025,"Број говорника у парламенту, према старости и полу, у горњем дому",46 година и више,,Мушкарци,,Број,3.0
2026,"Број говорника у парламенту, према старости и полу, у горњем дому",46 година и више,,Мушкарци,,Број,3.0
2026,"Број младих у парламенту, доњем дому или једнодомном парламенту (број)",испод 41 године,,,,Број,7.0
2022,"Број младих у парламенту, доњем дому или једнодомном парламенту (број)",млађи од 45 година,,,,Број,7.0
2025,"Број младих у парламенту, доњем дому или једнодомном парламенту (број)",млађи од 45 година,,,,Број,10.0
2026,"Број младих у парламенту, доњем дому или једнодомном парламенту (број)",млађи од 45 година,,,,Број,10.0
2021,"Број младих људи у парламенту (45 година или млађи), доњем дому или једнодомном (број)",млађи од 45 година,,,,Број,
2022,"Број младих људи у парламенту (45 година или млађи), доњем дому или једнодомном (број)",млађи од 45 година,,,,Број,
2023,"Број младих људи у парламенту (45 година или млађи), доњем дому или једнодомном (број)",млађи од 45 година,,,,Број,
2026,"Број младих у парламенту, горњи дом (број)",испод 41 године,,,,Број,2.0
2022,"Број младих у парламенту, горњи дом (број)",млађи од 45 година,,,,Број,1.0
2025,"Број младих у парламенту, горњи дом (број)",млађи од 45 година,,,,Број,2.0
2026,"Број младих у парламенту, горњи дом (број)",млађи од 45 година,,,,Број,2.0
2021,"Број младих у парламенту (45 година или млађи), Горњем дому (број)",млађи од 45 година,,,,Број,
2022,"Број младих у парламенту (45 година или млађи), Горњем дому (број)",млађи од 45 година,,,,Број,
2023,"Број младих у парламенту (45 година или млађи), Горњем дому (број)",млађи од 45 година,,,,Број,
2026,"Удео младих у парламенту, доњи дом или једнодомни (%)",испод 41 године,,,,Проценат,17.1
2022,"Удео младих у парламенту, доњи дом или једнодомни (%)",млађи од 45 година,,,,Проценат,19.05
2025,"Удео младих у парламенту, доњи дом или једнодомни (%)",млађи од 45 година,,,,Проценат,24.4
2026,"Удео младих у парламенту, доњи дом или једнодомни (%)",млађи од 45 година,,,,Проценат,24.4
2021,"Удио младих у парламенту (45 година или млађи), доњем дому или једнодомном дому (%)",млађи од 45 година,,,,Проценат,
2022,"Удио младих у парламенту (45 година или млађи), доњем дому или једнодомном дому (%)",млађи од 45 година,,,,Проценат,
2023,"Удио младих у парламенту (45 година или млађи), доњем дому или једнодомном дому (%)",млађи од 45 година,,,,Проценат,
2026,"Удео младих у парламенту, горњи дом (%)",испод 41 године,,,,Проценат,14.3
2022,"Удео младих у парламенту, горњи дом (%)",млађи од 45 година,,,,Проценат,6.67
2025,"Удео младих у парламенту, горњи дом (%)",млађи од 45 година,,,,Проценат,14.3
2026,"Удео младих у парламенту, горњи дом (%)",млађи од 45 година,,,,Проценат,14.3
2021,"Удио младих у парламенту (45 година или млађи), Горњем дому (%)",млађи од 45 година,,,,Проценат,
2022,"Удио младих у парламенту (45 година или млађи), Горњем дому (%)",млађи од 45 година,,,,Проценат,
2023,"Удио младих у парламенту (45 година или млађи), Горњем дому (%)",млађи од 45 година,,,,Проценат,
2026,"Однос младих чланова у парламенту (Однос удела младих чланова у парламенту у односу на национално становништво са старосном границом подобности као доњом границом), доњи дом или једнодомни",испод 41 године,,,,Однос,0.5504
2022,"Однос младих чланова у парламенту (Однос удела младих чланова у парламенту у односу на национално становништво са старосном границом подобности као доњом границом), доњи дом или једнодомни",млађи од 45 година,,,,Однос,0.43121
2025,"Однос младих чланова у парламенту (Однос удела младих чланова у парламенту у односу на национално становништво са старосном границом подобности као доњом границом), доњи дом или једнодомни",млађи од 45 година,,,,Однос,0.6034
2026,"Однос младих чланова у парламенту (Однос удела младих чланова у парламенту у односу на национално становништво са старосном границом подобности као доњом границом), доњи дом или једнодомни",млађи од 45 година,,,,Однос,0.6034
2021,"Пропорција младих чланова парламента (Однос удјела младих посланика (45 година или млађи) у односу на национално становништво (45 година или млађи) са узрастом као доњом границом), Доњи дом или једнодомни",млађи од 45 година,,,,Однос,
2022,"Пропорција младих чланова парламента (Однос удјела младих посланика (45 година или млађи) у односу на национално становништво (45 година или млађи) са узрастом као доњом границом), Доњи дом или једнодомни",млађи од 45 година,,,,Однос,
2023,"Пропорција младих чланова парламента (Однос удјела младих посланика (45 година или млађи) у односу на национално становништво (45 година или млађи) са узрастом као доњом границом), Доњи дом или једнодомни",млађи од 45 година,,,,Однос,
2021,"Пропорција младих чланова парламента (Однос удела младих чланова парламента (45 година или млађи) у односу на национално становништво (45 година или млађи) са узрастом као доњом границом), Горњи дом",млађи од 45 година,,,,Однос,
2022,"Пропорција младих чланова парламента (Однос удела младих чланова парламента (45 година или млађи) у односу на национално становништво (45 година или млађи) са узрастом као доњом границом), Горњи дом",млађи од 45 година,,,,Однос,
2023,"Пропорција младих чланова парламента (Однос удела младих чланова парламента (45 година или млађи) у односу на национално становништво (45 година или млађи) са узрастом као доњом границом), Горњи дом",млађи од 45 година,,,,Однос,
