Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Мушкарци,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Оба пола или без подјеле по полу,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Жене,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 49 година,Мушкарци,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Жене,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,Сви старосни распони или нема подјеле по годинама,Мушкарци,
