Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,18.12
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,28.92
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,26.71
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,21.4
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,23.11
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,25.68
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,26.11
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,26.37
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,26.55
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,25.18
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,25.78
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,22.53
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,18.87
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,17.21
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,13.65
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,14.1
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 година и више,12.66
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,62.31
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,58.42
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,47.53
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,48.7
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,57.72
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,57.87
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,63.11
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,59.12
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,62.66
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,62.32
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,54.31
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,45.81
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,38.82
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,33.79
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,36.6
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,35.07
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,65.72
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,63.12
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,52.3
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,52.72
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,61.28
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,60.46
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,63.97
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,59.2
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,65.41
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,67.34
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,58.91
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,51.36
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,45.46
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,37.94
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,42.8
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 до 24 године,40.68
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,60.19
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,55.6
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,44.79
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,46.44
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,55.48
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,56.44
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,62.64
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,59.08
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,60.98
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,59.52
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,52.05
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,43.11
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,35.45
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,31.27
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,32.5
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,31.69
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,26.02
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,24.37
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,19.88
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,20.56
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,23.17
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,23.75
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,23.82
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,23.77
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,23.47
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,23.33
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,22.04
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,17.49
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,15.9
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,13.52
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,13.6
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,12.93
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,29.59
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,28.06
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,23.15
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,22.0
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,25.64
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,26.38
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,27.01
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,26.03
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,27.36
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,26.5
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,27.2
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,20.34
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,17.66
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,16.61
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,15.8
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,25 година и више,16.11
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,23.96
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,22.28
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,17.92
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,19.68
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,21.64
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,22.09
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,21.82
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,22.35
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,20.96
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,21.28
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,18.76
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,15.62
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,14.78
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,11.46
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,12.1
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,25 година и више,10.7
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,17.39
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Жене,15 година и више,22.0
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Мушкарци,15 година и више,14.4
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,38.26
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Жене,15 до 24 године,44.49
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Мушкарци,15 до 24 године,34.53
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Оба пола или без подјеле по полу,25 година и више,15.27
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Жене,25 година и више,19.84
2021,"Стопа незапослености, према полу и старости - 19. ICLS (%)",Проценат,Мушкарци,25 година и више,12.29
