Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,11.9
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,13.9
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,13.7
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,13.7
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,12.2
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,13.1
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,10.7
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,13.3
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 do 64 godine,12.6
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,13.5
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,12.4
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,12.1
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,11.5
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,11.2
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,11.1
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,12.5
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 do 64 godine,11.1
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,2.4
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,2.3
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,2.6
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,1.8
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,1.9
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,2.0
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,3.8
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,25 do 54 godine,2.2
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.3
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.6
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.9
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.0
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.1
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.2
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,4.0
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,25 do 54 godine,2.3
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,2.5
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,2.0
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,2.2
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,1.6
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,1.8
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,1.9
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,3.6
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,25 do 54 godine,2.1
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,55 do 64 godine,0.2
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,55 do 64 godine,0.1
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,55 do 64 godine,0.3
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,55 do 64 godine,0.1
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,55 do 64 godine,0.2
