Year,SERIES,BIOKLIMATIC_BELT,LAND_ COVER,UNIT_MEASURE,Value
2018,ER_MTN_GRNCVI,MONTANE,HERB_AQUA_FLOOD,PT,0.08
2000,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.34
2005,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.34
2010,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.33
2015,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.33
2018,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.33
2000,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.23
2005,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.18
2010,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.13
2015,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.06
2018,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.05
2000,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.09
2005,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.08
2010,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.08
2015,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.08
2018,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.09
2000,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.07
2005,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.07
2010,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.08
2015,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.08
2018,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.08
2000,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2005,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2010,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2015,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2018,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2000,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,66.11
2005,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,66.56
2010,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,67.72
2015,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,67.97
2018,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,67.73
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,30.07
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,26.41
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,26.98
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,23.89
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT, 24.14
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,42.91
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,42.91
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,43.48
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,43.48
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,43.48
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,22.39
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,26.05
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,24.91
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,28.04
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,27.75
2000,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.33
2005,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.38
2010,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.43
2015,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.5
2018,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.5
2000,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,18.82
2005,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,18.28
2010,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,17.13
2015,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,16.92
2018,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,17.08
2000,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0
2005,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0
2010,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0
2015,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0
2018,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0
2000,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.14
2005,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.18
2010,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.12
2015,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.01
2018,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.06
2000,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2005,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2010,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2015,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2018,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2000,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.34
2005,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.34
2010,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.33
2015,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.33
2018,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.33
2000,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.23
2005,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.18
2010,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.13
2015,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.06
2018,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.05
2000,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.12
2005,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2010,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2015,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2018,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2000,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.7
2005,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.7
2010,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.8
2015,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.8
2018,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.8
2000,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2005,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2010,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2015,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2018,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2000,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,66.08
2005,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,66.53
2010,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,67.69
2015,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,67.94
2018,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,67.71
