Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,18
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,10
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,13
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Ispod 18 godina,3
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,4
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,18 godina i više,6
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,1
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,18 godina i više,5
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,36
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,28
2016,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,23
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,22
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,20
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2007,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2008,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2009,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2010,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2011,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2012,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,14
2015,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,8
2005,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2006,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2007,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2008,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2009,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2010,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2011,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2012,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2014,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2015,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2016,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Ispod 18 godina,0
2005,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2006,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2007,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2008,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2009,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2010,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2011,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2012,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2014,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2015,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2016,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Ispod 18 godina,0
2005,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2006,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2007,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2008,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2009,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2010,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2011,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2012,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2014,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2015,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2016,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,18 godina i više,0
2005,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2006,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2007,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2008,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2009,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2010,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2011,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2012,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2014,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2015,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2016,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,18 godina i više,0
2005,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2006,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2007,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2008,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2009,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2010,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2011,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2012,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2015,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2016,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2005,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2006,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2007,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2008,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2009,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2010,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2011,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2012,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2015,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2016,Detektovane žrtve trgovine ljudima za uklanjanje organa (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Ispod 18 godina,6
2014,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Ispod 18 godina,0
2015,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Ispod 18 godina,0
2016,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Ispod 18 godina,0
2014,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,18 godina i više,4
2015,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,18 godina i više,6
2016,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,18 godina i više,7
2014,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,18 godina i više,0
2015,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,18 godina i više,0
2016,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,18 godina i više,0
2010,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,7
2011,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,17
2012,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,20
2014,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,10
2015,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,6
2016,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,7
2010,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,1
2011,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,1
2012,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2014,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2015,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2016,Detektovane žrtve trgovine ljudima za  seksualno iskorištavanje (broj),Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2005,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,66
2006,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,71
2007,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,41
2008,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,33
2009,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,69
2010,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,25
2011,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,35
2012,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,39
2014,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,49
2015,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,35
2016,Detektovane žrtve trgovine ljudima (broj),Broj,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,48
