Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,0.08
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,0.52
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,0.27
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,0.19
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,0.22
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Oba spola ili bez podjele po spolu,0.19
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,1.32
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,0.71
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,0.5
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,0.58
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Žene,0.43
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,0.1
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,0.05
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,0.04
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,0.04
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 do 24 godine,Muškarci,0.03
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,0.18
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,0.1
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,0.07
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,0.08
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Oba spola ili bez podjele po spolu,0.06
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,0.17
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,0.09
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,0.07
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,0.08
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Žene,0.05
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,0.19
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,0.1
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,0.07
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,0.08
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,25 godina i više,Muškarci,0.06
2007,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,mlađi od 15 godina,Oba spola ili bez podjele po spolu,0.04839
2011,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,mlađi od 15 godina,Oba spola ili bez podjele po spolu,0.13127
2007,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,15 do 64 godine,Oba spola ili bez podjele po spolu,0.06759
2011,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,15 do 64 godine,Oba spola ili bez podjele po spolu,0.07291
2007,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,65 godina i više,Oba spola ili bez podjele po spolu,0.08233
2011,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,65 godina i više,Oba spola ili bez podjele po spolu,0.02531
2001,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,0.3
2004,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,0.2
2007,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,0.1
2011,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,0.1
2007,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Žene,0.04908
2011,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Žene,0.08008
2007,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Muškarci,0.08465
2011,"Udio stanovništva koje živi ispod međunarodne linije siromaštva, po spolu i dobi (%)",Postotak,Svi dobni rasponi ili nema podjele po godinama,Muškarci,0.06966
