Year,SERIES,UNIT_MEASURE,Godine,Spol,Stupanj urbanizacije,Value
2016,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,2.1
2017,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,1.6
2018,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,1.7
2019,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,2.0
2020,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,2.8
2021,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,2.9
2022,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,2.2
2015,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,1.5
2016,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,1.8
2017,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,1.3
2018,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,1.5
2019,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,1.9
2020,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,2.8
2021,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,3.1
2022,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,2.8
2015,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,150.8
2016,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,141.0
2017,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,119.2
2018,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,124.9
2019,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,151.6
2020,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,201.0
2021,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,221.1
2022,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Žene,,219.8
2015,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,136.2
2016,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,161.5
2017,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,134.0
2018,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,140.0
2019,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,135.4
2020,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,154.5
2021,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,154.4
2022,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,15 godina i više,Muškarci,,147.1
2015,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,338.2
2016,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,357.5
2017,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,298.7
2018,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,312.4
2019,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,337.3
2020,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,417.0
2021,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,440.1
2022,Populacija u umjerenoj ili ozbiljnoj nesigurnosti hrane (u tisućama ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,429.9
2015,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2016,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2017,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2018,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2019,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2020,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2021,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2022,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Žene,,100.0
2015,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2016,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2017,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2018,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2019,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2020,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2021,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2022,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,15 godina i više,Muškarci,,100.0
2015,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
2016,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
2017,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
2018,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
2019,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
2020,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
2021,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,103.1
2022,Populacija u ozbiljnoj nesigurnosti u pogledu hrane (tisuće ljudi),Tisuće,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,,100.0
