Year,SERIES,UNIT_MEASURE,Godine,Stupanj urbanizacije,Kvantil dohotka ili bogatstva,Spol,Tipovi kućanstava,Value
2011,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste kućanstava,10.98
2015,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste kućanstava,9.73
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste kućanstava,7.12
2022,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste kućanstava,7.49
2004,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste kućanstava,11.24
2007,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste kućanstava,13.43
2011,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste kućanstava,12.49
2015,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste kućanstava,11.17
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste kućanstava,8.88
2022,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste kućanstava,8.81
