Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2013,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.425
2014,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.33333
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.33333
2016,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.33333
2017,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.33333
2000,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,98.64831
2001,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,98.3778
2002,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,98.10712
2003,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,97.83626
2004,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,97.56524
2005,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,97.29405
2006,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,97.02269
2007,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,96.75116
2008,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,96.47946
2009,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,96.20759
2010,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,95.93555
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,95.66334
2012,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,95.39097
2013,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,95.11842
2014,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,94.8457
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,94.8457
2016,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,94.8457
2017,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Urbano,94.8457
2000,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.07844
2001,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.08796
2002,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.09814
2003,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.10886
2004,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.12025
2005,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.13579
2006,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.15163
2007,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.1679
2008,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.18446
2009,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.20132
2010,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.21849
2011,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.23601
2012,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.25391
2013,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.27204
2014,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.29053
2015,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.31294
2016,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.33615
2017,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ukupno,95.36024
2000,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.58207
2001,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.53648
2002,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.4909
2003,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.44531
2004,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.39972
2005,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.37374
2006,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.34775
2007,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.32174
2008,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.2957
2009,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.26965
2010,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.24358
2011,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.21749
2012,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.19138
2013,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.16525
2014,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.1391
2015,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.1391
2016,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.1391
2017,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Ruralno,92.1391
2000,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.47197
2001,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.51213
2002,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.55228
2003,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.59244
2004,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.6326
2005,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.65612
2006,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.67962
2007,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.70312
2008,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.72659
2009,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.75006
2010,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.77351
2011,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.79695
2012,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.82037
2013,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.84378
2014,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.86718
2015,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.86718
2016,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.86718
2017,Udio stanovništva koji koristi osnovne sanitarne usluge,Postotak,Urbano,98.86718
