Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2001,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.3382
2002,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.3034
2003,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.2687
2004,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.2339
2005,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.1991
2006,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.1644
2007,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.1296
2008,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0949
2009,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0601
2010,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0253
2011,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2012,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2013,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2014,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2015,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2016,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2017,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2018,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2019,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2020,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2021,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2022,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2023,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2024,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanom/ruralnom (%)",Postotak,Urbano,0.0
2000,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.07
2001,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.14
2002,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.2
2003,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.27
2004,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.32
2005,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.37
2006,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.42
2007,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.47
2008,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,26.51
2009,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,27.68
2010,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,30.6
2011,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,33.56
2012,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,36.57
2013,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,39.64
2014,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,42.77
2015,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,46.05
2016,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,49.45
2017,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,52.98
2018,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Sva područja,56.63
2000,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,6.45
2001,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,6.25
2002,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,6.07
2003,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,5.87
2004,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,5.68
2005,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,5.49
2006,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,5.29
2007,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,5.1
2008,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,4.91
2009,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,6.17
2010,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,9.75
2011,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,13.49
2012,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,17.4
2013,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,21.57
2014,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,25.97
2015,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,30.59
2016,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,35.38
2017,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,40.34
2018,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,45.46
2019,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,50.75
2020,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,56.21
2021,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,58.1
2022,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,58.1
2023,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,58.1
2024,"Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja, prema urbanom/ruralnom području (%)",Postotak,Urbano,58.1
2008,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.1948
2009,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.203
2010,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2111
2011,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2193
2012,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2274
2013,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2356
2014,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2438
2015,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2523
2016,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Sva područja,97.2611
2008,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2009,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2010,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2011,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2012,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2013,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2014,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2015,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2016,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Ruralno,96.0497
2008,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2009,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2010,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2011,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2012,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2013,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2014,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2015,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
2016,"Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama, prema urbanom/ruralnom području (%)",Postotak,Urbano,98.5989
