Year,SERIES,UNIT_MEASURE,Razina obrazovanja,Kvantil dohotka ili bogatstva,Spol,Vrsta vještina,Stupanj urbanizacije,Godine,Value
2015,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Sva područja,,1.1509
2016,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Sva područja,,1.1539
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),,,Sva područja,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 2,,,Sva područja,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 3,,,Sva područja,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 4,,,Sva područja,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 5 (najbogatiji),,,Sva područja,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 2,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 3,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 4,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 2,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 3,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 4,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 5 (najbogatiji),,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 2,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 3,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 4,,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 5 (najbogatiji),,,Ruralno,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 1 (najsiromašniji),,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 2,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 3,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 4,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Niže srednje obrazovanje,Kvantil 5 (najbogatiji),,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 2,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 3,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 4,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Osnovno obrazovanje,Kvantil 5 (najbogatiji),,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 2,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 3,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 4,,,Urbano,,
2014,"Prilagođeni indeks rodnog pariteta za stopu završetka, prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja",Odnos,Više srednje obrazovanje,Kvantil 5 (najbogatiji),,,Urbano,,
2018,Prilagođeni indeks rodnog pariteta za postizanje minimalnog stepena čitanja i matematike (omjer),Odnos,Niže srednje obrazovanje,,,SKILL_READ,,,1.30087
2019,Prilagođeni indeks rodnog pariteta za postizanje minimalnog stepena čitanja i matematike (omjer),Odnos,Osnovno obrazovanje,,,SKILL_MATH,,,1.14329
2014,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.1
2015,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.2
2016,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.2
2017,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.2
2018,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.2
2019,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.1
2020,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.1
2021,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.2
2022,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 24 godine,1.2
2014,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.0
2015,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.1
2016,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.1
2017,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.1
2018,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.2
2019,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.0
2020,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.1
2021,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.1
2022,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,15 do 64 godine,1.1
2014,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,0.0
2015,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.2
2016,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.2
2017,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.2
2018,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.2
2019,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.1
2020,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.1
2021,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.1
2022,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,25 do 54 godine,1.2
2014,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2015,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2016,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2017,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2018,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2019,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2020,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,0.8
2021,Prilagođeni indeks rodnog pariteta za stopu učešća u formalnom i neformalnom obrazovanju i obuci (omjer),Odnos,,,,,,55 do 64 godine,
2010,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.97698
2011,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.93815
2012,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.9575
2016,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.96249
2017,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.95839
2018,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,1.00032
2019,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.96578
2020,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.94595
2021,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.99947
2022,"Prilagođeni indeks rodnog pariteta za stopu učešća u organizovanom učenju (godinu dana prije zvaničnog osnovnog uzrasta), (omjer)",Odnos,,,,,,,0.95614
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,,,1.03128
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,,,0.70046
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kopiranje ili premještanje datoteke ili mape,,,0.94207
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kopiranje ili premještanje datoteke ili mape,,,0.94222
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,,,0.84348
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,,,0.73837
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,,,0.9209
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,,,0.95803
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",,,0.9368
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",,,0.75367
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",,,0.91944
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",,,1.00999
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",,,0.92242
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Slanje e - mailova s ​​priloženim datotekama,,,0.75366
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Slanje e - mailova s ​​priloženim datotekama,,,0.9208
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Slanje e - mailova s ​​priloženim datotekama,,,0.90442
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Izrada elektroničkih prezentacija s prezentacijskim softverom,,,0.73845
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Izrada elektroničkih prezentacija s prezentacijskim softverom,,,0.69955
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Izrada elektroničkih prezentacija s prezentacijskim softverom,,,0.8413
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Izvođenje formalnog online tečaja,,,0.81909
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Izvođenje formalnog online tečaja,,,0.3876
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Izvođenje formalnog online tečaja,,,1.54689
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Dobivanje informacija o robi ili uslugama na mreži,,,1.00358
2018,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Dobivanje informacija o robi ili uslugama na mreži,,,1.01953
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Dobivanje informacija o robi ili uslugama na mreži,,,0.96707
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Dobivanje informacija o robi ili uslugama na mreži,,,0.95765
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Dobivanje informacija o robi ili uslugama na mreži,,,0.96015
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Dobivanje informacija o robi ili uslugama na mreži,,,0.91484
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kupnja ili naručivanje robe ili usluga putem Interneta,,,0.84345
2018,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kupnja ili naručivanje robe ili usluga putem Interneta,,,0.93063
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kupnja ili naručivanje robe ili usluga putem Interneta,,,0.60743
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kupnja ili naručivanje robe ili usluga putem Interneta,,,0.96291
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kupnja ili naručivanje robe ili usluga putem Interneta,,,1.30381
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Kupnja ili naručivanje robe ili usluga putem Interneta,,,0.75269
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",,,1.12669
2018,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",,,1.10676
