Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Spol,Godine,Value
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,33.7
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,31.5
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,29.3
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,30.1
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,30.5
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,24.8
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,22.1
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,23.1
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,14.3
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,20.68
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,19.89
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,95.6
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,97.3
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,96.1
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,96.3
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,95.9
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,96.6
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,96.1
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,96.0
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,94.0
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,95.0
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,96.7
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,88.9
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,84.2,
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,88.4
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,79.4
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,89.98
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,92.59
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,18.9
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,16.9
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,15.7
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,12.8
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,14.3
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,12.0
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,13.2
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,12.8
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,12.5
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,13.8
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,12.7
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,10.6
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,10.5
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,7.8
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,6.64
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,6.94
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,5.55
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,35.8
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,34.0
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,33.6
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,34.3
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,32.9
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,29.7
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,32.0
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,28.7
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,26.8
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,27.5
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,27.6
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,26.3
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,22.3
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,24.3
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,16.79
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,25.72
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,24.79
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,85.9
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,87.1
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,88.2
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,87.0
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,86.3
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,86.6
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,87.2
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,87.9
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,87.2
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,87.3
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,86.2
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,65.5
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,65.7
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,72.4
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,52.51
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,66.44
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,68.73
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,27.6
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,27.3
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,24.1
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,21.3
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,20.2
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,18.8
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,22.1
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,20.6
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,19.4
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,19.1
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,20.2
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,14.3
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,14.0
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,12.6
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,7.95
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,9.32
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,8.58
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,39.2
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,38.6
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,36.7
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,33.5
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,32.1
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,31.6
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,34.7
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,33.2
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,30.8
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,31.7
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,32.1
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,24.0
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,22.0
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,22.4
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,12.74
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,17.4
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,16.64
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,56.14
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,51.11
