Year,SERIES,UNIT_MEASURE,Spol,Value
2018,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.86
2019,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.94
2020,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.33
2021,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.55
2022,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.44
2000,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,99.0
2001,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,82.0
2002,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,90.0
2004,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,68.0
2007,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,66.0
2008,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,66.0
2009,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,71.0
2010,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,56.0
2011,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,51.0
2012,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,63.0
2013,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,46.0
2014,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,50.0
2015,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,57.0
2016,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,45.0
2017,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,42.0
2018,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,39.0
2019,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,42.0
2020,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,43.0
2021,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,32.0
2022,Broj žrtava ubojstava s predomišljajem,Broj,Oba spola,35.0
2000,Broj žrtava ubojstava s predomišljajem,Broj,Žene,20.0
2001,Broj žrtava ubojstava s predomišljajem,Broj,Žene,29.0
2002,Broj žrtava ubojstava s predomišljajem,Broj,Žene,25.0
2009,Broj žrtava ubojstava s predomišljajem,Broj,Žene,15.0
2010,Broj žrtava ubojstava s predomišljajem,Broj,Žene,10.0
2011,Broj žrtava ubojstava s predomišljajem,Broj,Žene,16.0
2012,Broj žrtava ubojstava s predomišljajem,Broj,Žene,24.0
2013,Broj žrtava ubojstava s predomišljajem,Broj,Žene,14.0
2014,Broj žrtava ubojstava s predomišljajem,Broj,Žene,11.0
2015,Broj žrtava ubojstava s predomišljajem,Broj,Žene,18.0
2016,Broj žrtava ubojstava s predomišljajem,Broj,Žene,15.0
2017,Broj žrtava ubojstava s predomišljajem,Broj,Žene,10.0
2018,Broj žrtava ubojstava s predomišljajem,Broj,Žene,8.0
2019,Broj žrtava ubojstava s predomišljajem,Broj,Žene,10.0
2020,Broj žrtava ubojstava s predomišljajem,Broj,Žene,5.0
2021,Broj žrtava ubojstava s predomišljajem,Broj,Žene,7.0
2022,Broj žrtava ubojstava s predomišljajem,Broj,Žene,12.0
2000,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,79.0
2001,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,53.0
2002,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,65.0
2009,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,56.0
2010,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,46.0
2011,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,35.0
2012,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,39.0
2013,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,32.0
2014,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,39.0
2015,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,39.0
2016,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,30.0
2017,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,32.0
2018,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,31.0
2019,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,32.0
2020,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,38.0
2021,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,25.0
2022,Broj žrtava ubojstava s predomišljajem,Broj,Muškarci,22.0
