Year,SERIES,UNIT_MEASURE,Spol,Godine,Razina obrazovanja,Kvantil dohotka ili bogatstva,Stupanj urbanizacije,Value
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,90.29
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,46.4
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,34.38
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,37.58
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,61.03
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,58.4
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,25 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,58.08
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,25 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,56.13
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,25 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,62.8
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,25 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,82.98
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,25 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,81.04
2011,Udio odraslih (15 godina i starijih) aktivnih u radnoj snazi s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,76.62,
2014,Udio odraslih (15 godina i starijih) aktivnih u radnoj snazi s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,69.08,
2017,Udio odraslih (15 godina i starijih) aktivnih u radnoj snazi s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,77.60,
2021,Udio odraslih (15 godina i starijih) aktivnih u radnoj snazi s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,91.01,
2024,Udio odraslih (15 godina i starijih) aktivnih u radnoj snazi s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,91.34,
2011,Udio odraslih (15 godina i starijih) izvan radne snage s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,41.61,
2014,Udio odraslih (15 godina i starijih) izvan radne snage s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,40.43,
2017,Udio odraslih (15 godina i starijih) izvan radne snage s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,42.98,
2021,Udio odraslih (15 godina i starijih) izvan radne snage s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,62.40,
2024,Udio odraslih (15 godina i starijih) izvan radne snage s računom u financijskoj instituciji ili pružatelju usluga mobilnog novca (% odraslih u dobi od 15 godina i starijih),Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,61.57,
