Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,SEX,URBANISATION,Value
2019,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,100.0
2020,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,100.0
2000,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,99.61
2006,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,99.11
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,99.89
2013,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,99.9
2014,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,99.99
2015,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,99.99
2016,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,100.0
2017,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,100.0
2018,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,100.0
2019,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,100.0
2020,SE_TOT_CPLR,PT,ISCED11_1,_T,F,_T,100.0
2000,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,98.9
2006,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.28
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.59
2013,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.7
2014,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.7
2015,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.7
2016,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.8
2017,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.8
2018,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.8
2019,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.8
2020,SE_TOT_CPLR,PT,ISCED11_1,_T,M,_T,99.9
2006,SE_TOT_CPLR,PT,ISCED11_1,Q1,_T,_T,99.52
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,_T,_T,99.66748
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,F,_T,99.40881
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,M,_T,100.0
2006,SE_TOT_CPLR,PT,ISCED11_1,Q2,_T,_T,98.43
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,_T,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,M,_T,100.0
2006,SE_TOT_CPLR,PT,ISCED11_1,Q3,_T,_T,98.48
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,_T,_T,98.92706
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,M,_T,98.07095
2006,SE_TOT_CPLR,PT,ISCED11_1,Q4,_T,_T,99.64
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,_T,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,M,_T,100.0
2006,SE_TOT_CPLR,PT,ISCED11_1,Q5,_T,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,_T,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,M,_T,100.0
2000,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,R,99.12
2006,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,R,99.77
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,R,99.66146
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,F,R,99.91665
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,M,R,99.41744
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,_T,R,99.81214
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,F,R,99.6634
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,M,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,_T,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,F,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,M,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,_T,R,98.71719
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,F,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,M,R,97.79621
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,_T,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,F,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,M,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,_T,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,F,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,M,R,100.0
2000,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,U,99.48
2006,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,U,97.97
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,U,99.91445
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,F,U,99.83771
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,M,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,_T,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q1,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,_T,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q2,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,_T,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q3,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,_T,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,F,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q4,M,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,_T,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,F,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_1,Q5,M,U,100.0
2000,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,_T,51.97
2006,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,_T,55.33
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,_T,93.06007
2000,SE_TOT_CPLR,PT,ISCED11_3,_T,F,_T,52.86
2006,SE_TOT_CPLR,PT,ISCED11_3,_T,F,_T,58.96
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,F,_T,93.48602
2000,SE_TOT_CPLR,PT,ISCED11_3,_T,M,_T,51.1
2006,SE_TOT_CPLR,PT,ISCED11_3,_T,M,_T,51.48
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,M,_T,92.69718
2006,SE_TOT_CPLR,PT,ISCED11_3,Q1,_T,_T,31.59
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,_T,_T,83.20097
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,F,_T,81.98621
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,M,_T,83.83551
2006,SE_TOT_CPLR,PT,ISCED11_3,Q2,_T,_T,39.35
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,_T,_T,88.78678
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,F,_T,88.04646
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,M,_T,89.67529
2006,SE_TOT_CPLR,PT,ISCED11_3,Q3,_T,_T,58.93
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,_T,_T,92.34146
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,F,_T,93.23528
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,M,_T,91.66612
2006,SE_TOT_CPLR,PT,ISCED11_3,Q4,_T,_T,59.59
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,_T,_T,97.319114
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,F,_T,98.90768
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,M,_T,95.72816
2006,SE_TOT_CPLR,PT,ISCED11_3,Q5,_T,_T,77.88
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,_T,_T,98.18441
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,F,_T,97.76735
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,M,_T,98.53152
2000,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,R,42.19
2006,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,R,44.24
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,R,90.89954
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,F,R,91.40295
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,M,R,90.47118
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,_T,R,81.36999
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,F,R,78.99797
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,M,R,82.45838
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,_T,R,88.8996
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,F,R,87.07641
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,M,R,91.10901
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,_T,R,90.2955
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,F,R,91.89303
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,M,R,89.1518
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,_T,R,97.60803
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,F,R,98.81908
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,M,R,96.20177
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,_T,R,99.61563
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,F,R,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,M,R,0.0
2000,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,U,69.47
2006,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,U,72.78
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,U,96.939
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,F,U,97.21922
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,M,U,96.69978
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,_T,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,_T,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,_T,U,98.50816
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,_T,U,96.79177
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,_T,U,97.66034
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,F,U,97.25491
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,M,U,97.99669
