Year,SERIES,BIOKLIMATIC_BELT,LAND_ COVER,UNIT_MEASURE,Value
2018,ER_MTN_GRNCVI,MONTANE,HERB_AQUA_FLOOD,PT,0.08
2000,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.34
2005,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.34
2010,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.33
2015,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.33
2018,ER_MTN_GRNCVI,MONTANE,INLAND_WATER,PT,0.33
2000,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.23
2005,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.18
2010,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.13
2015,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.06
2018,ER_MTN_GRNCVI,MONTANE,MGCI,PT,99.05
2000,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.09
2005,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.08
2010,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.08
2015,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.08
2018,ER_MTN_GRNCVI,MONTANE,SHRUB_COVERED,PT,1.09
2000,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.07
2005,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.07
2010,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.08
2015,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.08
2018,ER_MTN_GRNCVI,MONTANE,SPARSE_NAT_VEG,PT,0.08
2000,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2005,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2010,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2015,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2018,ER_MTN_GRNCVI,MONTANE,TERRESTRIAL_BARREN,PT,0.03
2000,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,66.11
2005,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,66.56
2010,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,67.72
2015,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,67.97
2018,ER_MTN_GRNCVI,MONTANE,TREE_COVERED,PT,67.73
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0.0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0.0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0.0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0.0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,ARTIFICIAL,PT,0.0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,30.07
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,26.41
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,26.98
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,23.89
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,CROPLAND,PT,24.14
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0.0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0.0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0.0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0.0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,GLACIERS,PT,0.0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,GRASSLAND,PT,3.78
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0.0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0.0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0.0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0.0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,HERB_AQUA_FLOOD,PT,0.0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0.0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0.0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0.0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0.0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,INLAND_WATER,PT,0.0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,MGCI,PT,99.15
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,42.91
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,42.91
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,43.48
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,43.48
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,SHRUB_COVERED,PT,43.48
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,SPARSE_NAT_VEG,PT,0.85
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0.0
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0.0
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0.0
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0.0
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,TERRESTRIAL_BARREN,PT,0.0
2000,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,22.39
2005,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,26.05
2010,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,24.91
2015,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,28.04
2018,ER_MTN_GRNCVI,REMAIN_MOUNT,TREE_COVERED,PT,27.75
2000,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.33
2005,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.38
2010,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.43
2015,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.5
2018,ER_MTN_GRNCVI,TOTAL,ARTIFICIAL,PT,0.5
2000,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,18.82
2005,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,18.28
2010,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,17.13
2015,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,16.92
2018,ER_MTN_GRNCVI,TOTAL,CROPLAND,PT,17.08
2000,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0.0
2005,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0.0
2010,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0.0
2015,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0.0
2018,ER_MTN_GRNCVI,TOTAL,GLACIERS,PT,0.0
2000,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.14
2005,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.18
2010,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.12
2015,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.01
2018,ER_MTN_GRNCVI,TOTAL,GRASSLAND,PT,13.06
2000,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2005,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2010,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2015,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2018,ER_MTN_GRNCVI,TOTAL,HERB_AQUA_FLOOD,PT,0.08
2000,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.34
2005,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.34
2010,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.33
2015,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.33
2018,ER_MTN_GRNCVI,TOTAL,INLAND_WATER,PT,0.33
2000,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.23
2005,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.18
2010,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.13
2015,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.06
2018,ER_MTN_GRNCVI,TOTAL,MGCI,PT,99.05
2000,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.12
2005,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2010,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2015,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2018,ER_MTN_GRNCVI,TOTAL,SHRUB_COVERED,PT,1.11
2000,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.7
2005,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.7
2010,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.8
2015,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.8
2018,ER_MTN_GRNCVI,TOTAL,SPARSE_NAT_VEG,PT,0.8
2000,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2005,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2010,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2015,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2018,ER_MTN_GRNCVI,TOTAL,TERRESTRIAL_BARREN,PT,0.03
2000,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,66.08
2005,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,66.53
2010,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,67.69
2015,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,67.94
2018,ER_MTN_GRNCVI,TOTAL,TREE_COVERED,PT,67.71
2005,ER_MTN_GRNCOV,MONTANE,ARTIFICIAL,KM2,144.0
2010,ER_MTN_GRNCOV,MONTANE,ARTIFICIAL,KM2,163.86
2015,ER_MTN_GRNCOV,MONTANE,ARTIFICIAL,KM2,188.28
2018,ER_MTN_GRNCOV,MONTANE,ARTIFICIAL,KM2,191.99
2005,ER_MTN_GRNCOV,MONTANE,CROPLAND,KM2,6950.25
2010,ER_MTN_GRNCOV,MONTANE,CROPLAND,KM2,6511.69
2015,ER_MTN_GRNCOV,MONTANE,CROPLAND,KM2,6432.99
2018,ER_MTN_GRNCOV,MONTANE,CROPLAND,KM2,6494.72
2005,ER_MTN_GRNCOV,MONTANE,GLACIERS,KM2,0.0
2010,ER_MTN_GRNCOV,MONTANE,GLACIERS,KM2,0.0
2015,ER_MTN_GRNCOV,MONTANE,GLACIERS,KM2,0.0
2018,ER_MTN_GRNCOV,MONTANE,GLACIERS,KM2,0.0
2005,ER_MTN_GRNCOV,MONTANE,GRASSLAND,KM2,5013.66
2010,ER_MTN_GRNCOV,MONTANE,GRASSLAND,KM2,4990.11
2015,ER_MTN_GRNCOV,MONTANE,GRASSLAND,KM2,4950.42
2018,ER_MTN_GRNCOV,MONTANE,GRASSLAND,KM2,4969.21
2005,ER_MTN_GRNCOV,MONTANE,HERB_AQUA_FLOOD,KM2,31.34
2010,ER_MTN_GRNCOV,MONTANE,HERB_AQUA_FLOOD,KM2,30.79
2015,ER_MTN_GRNCOV,MONTANE,HERB_AQUA_FLOOD,KM2,30.24
2018,ER_MTN_GRNCOV,MONTANE,HERB_AQUA_FLOOD,KM2,30.31
2005,ER_MTN_GRNCOV,MONTANE,INLAND_WATER,KM2,127.84
2010,ER_MTN_GRNCOV,MONTANE,INLAND_WATER,KM2,127.08
2015,ER_MTN_GRNCOV,MONTANE,INLAND_WATER,KM2,127.08
2018,ER_MTN_GRNCOV,MONTANE,INLAND_WATER,KM2,127.08
2005,ER_MTN_GRNCOV,MONTANE,MGCI,KM2,37718.79
2010,ER_MTN_GRNCOV,MONTANE,MGCI,KM2,37696.82
2015,ER_MTN_GRNCOV,MONTANE,MGCI,KM2,37671.22
2018,ER_MTN_GRNCOV,MONTANE,MGCI,KM2,37666.77
2005,ER_MTN_GRNCOV,MONTANE,SHRUB_COVERED,KM2,412.07
2010,ER_MTN_GRNCOV,MONTANE,SHRUB_COVERED,KM2,410.18
2015,ER_MTN_GRNCOV,MONTANE,SHRUB_COVERED,KM2,408.85
2018,ER_MTN_GRNCOV,MONTANE,SHRUB_COVERED,KM2,413.61
2005,ER_MTN_GRNCOV,MONTANE,SPARSE_NAT_VEG,KM2,27.06
2010,ER_MTN_GRNCOV,MONTANE,SPARSE_NAT_VEG,KM2,30.21
2015,ER_MTN_GRNCOV,MONTANE,SPARSE_NAT_VEG,KM2,30.48
2018,ER_MTN_GRNCOV,MONTANE,SPARSE_NAT_VEG,KM2,30.62
2005,ER_MTN_GRNCOV,MONTANE,TERRESTRIAL_BARREN,KM2,11.82
2010,ER_MTN_GRNCOV,MONTANE,TERRESTRIAL_BARREN,KM2,11.55
2015,ER_MTN_GRNCOV,MONTANE,TERRESTRIAL_BARREN,KM2,12.45
2018,ER_MTN_GRNCOV,MONTANE,TERRESTRIAL_BARREN,KM2,13.05
2005,ER_MTN_GRNCOV,MONTANE,TREE_COVERED,KM2,25311.47
2010,ER_MTN_GRNCOV,MONTANE,TREE_COVERED,KM2,25754.05
2015,ER_MTN_GRNCOV,MONTANE,TREE_COVERED,KM2,25848.72
2018,ER_MTN_GRNCOV,MONTANE,TREE_COVERED,KM2,25758.93
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,ARTIFICIAL,KM2,0.0
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,ARTIFICIAL,KM2,0.0
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,ARTIFICIAL,KM2,0.0
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,ARTIFICIAL,KM2,0.0
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,CROPLAND,KM2,6.5
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,CROPLAND,KM2,6.64
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,CROPLAND,KM2,5.88
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,CROPLAND,KM2,5.94
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,GLACIERS,KM2,0.0
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,GLACIERS,KM2,0.0
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,GLACIERS,KM2,0.0
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,GLACIERS,KM2,0.0
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,GRASSLAND,KM2,0.93
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,GRASSLAND,KM2,0.93
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,GRASSLAND,KM2,0.93
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,GRASSLAND,KM2,0.93
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,HERB_AQUA_FLOOD,KM2,0.0
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,HERB_AQUA_FLOOD,KM2,0.0
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,HERB_AQUA_FLOOD,KM2,0.0
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,HERB_AQUA_FLOOD,KM2,0.0
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,INLAND_WATER,KM2,0.0
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,INLAND_WATER,KM2,0.0
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,INLAND_WATER,KM2,0.0
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,INLAND_WATER,KM2,0.0
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,MGCI,KM2,24.4
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,MGCI,KM2,24.4
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,MGCI,KM2,24.4
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,MGCI,KM2,24.4
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,SHRUB_COVERED,KM2,10.56
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,SHRUB_COVERED,KM2,10.7
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,SHRUB_COVERED,KM2,10.7
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,SHRUB_COVERED,KM2,10.7
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,SPARSE_NAT_VEG,KM2,0.21
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,SPARSE_NAT_VEG,KM2,0.21
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,SPARSE_NAT_VEG,KM2,0.21
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,SPARSE_NAT_VEG,KM2,0.21
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,TERRESTRIAL_BARREN,KM2,0.0
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,TERRESTRIAL_BARREN,KM2,0.0
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,TERRESTRIAL_BARREN,KM2,0.0
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,TERRESTRIAL_BARREN,KM2,0.0
2005,ER_MTN_GRNCOV,REMAIN_MOUNT,TREE_COVERED,KM2,6.41
2010,ER_MTN_GRNCOV,REMAIN_MOUNT,TREE_COVERED,KM2,6.13
2015,ER_MTN_GRNCOV,REMAIN_MOUNT,TREE_COVERED,KM2,6.9
2018,ER_MTN_GRNCOV,REMAIN_MOUNT,TREE_COVERED,KM2,6.83
2005,ER_MTN_GRNCOV,TOTAL,ARTIFICIAL,KM2,144.0
2010,ER_MTN_GRNCOV,TOTAL,ARTIFICIAL,KM2,163.86
2015,ER_MTN_GRNCOV,TOTAL,ARTIFICIAL,KM2,188.28
2018,ER_MTN_GRNCOV TOTAL,ARTIFICIAL,KM2,191.99,
2005,ER_MTN_GRNCOV,TOTAL,CROPLAND,KM2,6956.75
2010,ER_MTN_GRNCOV,TOTAL,CROPLAND,KM2,6518.33
2015,ER_MTN_GRNCOV,TOTAL,CROPLAND,KM2,6438.86
2018,ER_MTN_GRNCOV,TOTAL,CROPLAND,KM2,6500.67
2005,ER_MTN_GRNCOV,TOTAL,GLACIERS,KM2,0.0
2010,ER_MTN_GRNCOV,TOTAL,GLACIERS,KM2,0.0
2015,ER_MTN_GRNCOV,TOTAL,GLACIERS,KM2,0.0
2018,ER_MTN_GRNCOV,TOTAL,GLACIERS,KM2,0.0
2005,ER_MTN_GRNCOV,TOTAL,GRASSLAND,KM2,5014.59
2010,ER_MTN_GRNCOV,TOTAL,GRASSLAND,KM2,4991.04
2015,ER_MTN_GRNCOV,TOTAL,GRASSLAND,KM2,4951.36
2018,ER_MTN_GRNCOV,TOTAL,GRASSLAND,KM2,4970.14
2005,ER_MTN_GRNCOV,TOTAL,HERB_AQUA_FLOOD,KM2,31.34
2010,ER_MTN_GRNCOV,TOTAL,HERB_AQUA_FLOOD,KM2,30.79
2015,ER_MTN_GRNCOV,TOTAL,HERB_AQUA_FLOOD,KM2,30.24
2018,ER_MTN_GRNCOV,TOTAL,HERB_AQUA_FLOOD,KM2,30.31
2005,ER_MTN_GRNCOV,TOTAL,INLAND_WATER,KM2,127.84
2010,ER_MTN_GRNCOV,TOTAL,INLAND_WATER,KM2,127.08
2015,ER_MTN_GRNCOV,TOTAL,INLAND_WATER,KM2,127.08
2018,ER_MTN_GRNCOV,TOTAL,INLAND_WATER,KM2,127.08
2005,ER_MTN_GRNCOV,TOTAL,MGCI,KM2,37743.19
2010,ER_MTN_GRNCOV,TOTAL,MGCI,KM2,37721.22
2015,ER_MTN_GRNCOV,TOTAL,MGCI,KM2,37695.62
2018,ER_MTN_GRNCOV,TOTAL,MGCI,KM2,37691.18
2005,ER_MTN_GRNCOV,TOTAL,SHRUB_COVERED,KM2,422.63
2010,ER_MTN_GRNCOV,TOTAL,SHRUB_COVERED,KM2,420.88
2015,ER_MTN_GRNCOV,TOTAL,SHRUB_COVERED,KM2,419.55
2018,ER_MTN_GRNCOV,TOTAL,SHRUB_COVERED,KM2,424.3
2005,ER_MTN_GRNCOV,TOTAL,SPARSE_NAT_VEG,KM2,27.27
2010,ER_MTN_GRNCOV,TOTAL,SPARSE_NAT_VEG,KM2,30.41
2015,ER_MTN_GRNCOV,TOTAL,SPARSE_NAT_VEG,KM2,30.69
2018,ER_MTN_GRNCOV,TOTAL,SPARSE_NAT_VEG,KM2,30.83
2005, ER_MTN_GRNCOV,TOTAL,TERRESTRIAL_BARREN,KM2,11.82
2010, ER_MTN_GRNCOV,TOTAL,TERRESTRIAL_BARREN,KM2,11.55
2015, ER_MTN_GRNCOV,TOTAL,TERRESTRIAL_BARREN,KM2,12.45
2018, ER_MTN_GRNCOV,TOTAL,TERRESTRIAL_BARREN,KM2,13.05
2005,ER_MTN_GRNCOV,TOTAL,TREE_COVERED,KM2,25317.89
2010,ER_MTN_GRNCOV,TOTAL,TREE_COVERED,KM2,25760.18
2015,ER_MTN_GRNCOV,TOTAL,TREE_COVERED,KM2,25855.61
2018,ER_MTN_GRNCOV,TOTAL,TREE_COVERED,KM2,25765.75
